name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.1; 0.0248927000;0.029239200000000003; 0.0060905000; 0.0001639000; False; 0.0377941000; 0.1207970000;0.77; 0.0322527000;0.0091401; 0.0069927000; 0.0001890000; False; 0.0185707000; 0.1014597000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.09; 0.0222090000;0.0239315; 0.0201591000; 0.0001538000; False; 0.0509637000; 0.1245726000;0.78; 0.0216649000;0.0056679; 0.0040890000; 0.0001208000; False; 0.0117397000; 0.0658932000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.13; 0.0918098000;0.0088051; 0.0064865000; 0.0001784000; False; 0.0178438000; 0.1655917000;0.71; 0.0232568000;0.0086897; 0.0062937000; 0.0001631000; False; 0.0168220000; 0.0719201000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.07; 0.0211601000;0.006120199999999999; 0.0071965000; 0.0001650000; False; 0.0152419000; 0.0709891000;0.85; 0.0320243000;0.0083462; 0.0063280000; 0.0001685000; False; 0.0171856000; 0.0970214000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.12; 0.0603449000;0.0095394; 0.0060723000; 0.0001572000; False; 0.0180837000; 0.1477365000;0.83; 0.0668917000;0.0083743; 0.0198983000; 0.0001698000; False; 0.0360862000; 0.1538883000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.12; 0.0361494000;0.0090388; 0.0064734000; 0.0001686000; False; 0.0186189000; 0.1075990000;0.77; 0.0213807000;0.005513799999999999; 0.0040202000; 0.0001070000; False; 0.0113420000; 0.0722769000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.1; 0.0305451000;0.0056495; 0.0041773000; 0.0001103000; False; 0.0114886000; 0.0889330000;0.85; 0.0627748000;0.0220704; 0.0057830000; 0.0001742000; False; 0.0302892000; 0.1527339000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.11; 0.0332577000;0.0082306; 0.0064690000; 0.0001780000; False; 0.0171142000; 0.0989676000;0.78; 0.0357342000;0.0089797; 0.0066355000; 0.0002549000; False; 0.0182937000; 0.0956633000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.12; 0.0602614000;0.0068061; 0.0042359000; 0.0001088000; False; 0.0133307000; 0.1358704000;0.78; 0.0353576000;0.0087306; 0.0069257000; 0.0001758000; False; 0.0183247000; 0.1047013000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.12; 0.0345381000;0.008121; 0.0063021000; 0.0001523000; False; 0.0167691000; 0.1031844000;0.85; 0.0682641000;0.0092213; 0.0064712000; 0.0001758000; False; 0.0183910000; 0.1422596000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-5.mata;0.1; 0.0269476000;0.005529699999999999; 0.0039811000; 0.0001429000; False; 0.0112886000; 0.0842478000;0.82; 0.0202876000;0.0053598000000000005; 0.0039286000; 0.0001090000; False; 0.0108892000; 0.1306346000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-6.mata;0.1; 0.0326726000;0.0058635; 0.0041438000; 0.0001456000; False; 0.0119142000; 0.1240239000;0.74; 0.0345016000;0.0085354; 0.0063216000; 0.0001669000; False; 0.0177031000; 0.1046590000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-7.mata;0.07; 0.0214108000;0.0053711; 0.0041243000; 0.0001096000; False; 0.0111756000; 0.0690520000;0.87; 0.0210558000;0.0058481; 0.0040776000; 0.0001082000; False; 0.0116795000; 0.0699341000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-8.mata;0.13; 0.0366021000;0.0092518; 0.0073065000; 0.0001778000; False; 0.0191640000; 0.1131919000;0.8; 0.0342387000;0.0092283; 0.0064448000; 0.0001815000; False; 0.0188614000; 0.1036434000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-9.mata;0.1; 0.0303879000;0.0055880999999999995; 0.0040074000; 0.0001480000; False; 0.0113165000; 0.0885114000;0.84; 0.0370753000;0.0087158; 0.0064591000; 0.0001632000; False; 0.0178366000; 0.0989736000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03005-1.mata;0.09; 0.0206526000;0.0053378; 0.0039258000; 0.0001441000; False; 0.0111978000; 0.0854058000;0.72; 0.0212286000;0.0056488; 0.0040002000; 0.0001170000; False; 0.0115951000; 0.0658034000
