name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06042.mata;0.19; 0.0846183000;0.0084461; 0.0403697000; 0.0001254000; False; 0.0511315000; 0.2551368000;0.91; 0.0652165000;0.008829700000000001; 0.0610485000; 0.0001766000; False; 0.0723396000; 0.2024246000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06076.mata;0.17; 0.0826662000;0.0104151; 0.0552858000; 0.0001794000; False; 0.0682297000; 0.2189396000;0.83; 0.0405718000;0.0057785; 0.0423389000; 0.0002094000; False; 0.0499638000; 0.1413371000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06210.mata;0.12; 0.0653437000;0.0054209; 0.0039953000; 0.0001325000; False; 0.0111640000; 0.1572468000;0.8; 0.0256650000;0.005474199999999999; 0.0042562000; 0.0001130000; False; 0.0113720000; 0.0703700000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06234.mata;0.08; 0.0287622000;0.0077683; 0.0045825000; 0.0001569000; False; 0.0141175000; 0.0773241000;0.79; 0.0833087000;0.0082969; 0.0068395000; 0.0002033000; False; 0.0180057000; 0.1600072000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06244.mata;0.11; 0.0784953000;0.0052337; 0.0038882000; 0.0001166000; False; 0.0106465000; 0.1310963000;0.69; 0.0281613000;0.0053981; 0.0040704000; 0.0001119000; False; 0.0111116000; 0.0865861000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06264.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06295.mata;0.12; 0.0275940000;0.0054751; 0.0449515000; 0.0001991000; False; 0.0521788000; 0.1132554000;0.87; 0.0367157000;0.0056556; 0.0281246000; 0.0001323000; False; 0.0354935000; 0.1229535000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06296.mata;0.24; 0.1159476000;0.0087729; 0.0853671000; 0.0002971000; False; 0.0971072000; 0.2859099000;1.03; 0.0690787000;0.0089055; 0.0857485000; 0.0002806000; False; 0.0975948000; 0.2302145000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06368.mata;0.16; 0.0492588000;0.008274199999999999; 0.0438789000; 0.0001577000; False; 0.0545219000; 0.1812360000;0.73; 0.0222601000;0.0056735; 0.0284812000; 0.0001365000; False; 0.0360042000; 0.0936402000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06421.mata;0.18; 0.0875272000;0.008889399999999999; 0.0476231000; 0.0003082000; False; 0.0591408000; 0.1991606000;0.88; 0.0508472000;0.0091796; 0.0468742000; 0.0001894000; False; 0.0587025000; 0.2146821000
