name;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-compl;java-automatalib-intersection;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-automatalib-uni
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-*.mata;0.85;0.016151715;0.051228894; 0.014625318; 0.021725276; 0.002033966; false; 0.098163631; 0.193344194;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-*.mata;0.86;0.014988491;0.045441011; 0.016805793; 0.017454689; 0.00155277; true; 0.088304275; 0.181163133;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-*.mata;0.97;0.016378864;0.042807598; 0.019048748; 0.026316292; 0.002132136; false; 0.110123533; 0.197930878;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-*.mata;1.1;0.044770937;0.10761981;MISSING; 0.022901859; 0.002318066; false; 0.140424332; 0.336767556;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-*.mata;1.11;0.036036043999999996;0.112559202;MISSING; 0.045424399; 0.001563722; false; 0.166565073; 0.345295149;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-*.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-*.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-*.mata;1.2;0.04662188800000001;0.08875837199999999;MISSING;0.031831718; 0.002131806; true; 0.130230132; 0.317153965;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-*.mata;1.08;0.028030548999999995;0.10465469;0.034936746;0.025017737999999998; 0.002136364; false; 0.181230988; 0.279976249;0.002452554
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-*.mata;1.18;0.026838977;0.073941139;0.040822943;0.034481634000000004; 0.003539829; false; 0.19554001; 0.352606935;0.002435973
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10295-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10295-*.mata;1.03;0.024166168000000002;0.06437984000000001;0.023750542;0.033306261; 0.002226852; false; 0.141469463; 0.294702925;0.006551057
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10584-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10584-*.mata;1.22;0.033639929;0.063936098;0.033685818;0.05431636; 0.002411662; false; 0.164338935; 0.319451906; 0.001263923
