name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.18;0.1107085;0.009287199999999999; 0.0437791000; 0.0002036000; False; 0.0562658000; 0.2177539000;0.81;0.0376872;0.0059489; 0.0215810000; 0.0002175000; False; 0.0293755000; 0.1169442000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.19;0.1203922;0.005565499999999999; 0.0792682000; 0.0001831000; False; 0.0868944000; 0.2490644000;1.04;0.0361686;0.0068932; 0.1635993000; 0.0002476000; False; 0.1726791000; 0.2645754000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;26.77;0.3070391;0.0111921; 26.5885665000; 0.0002417000; False; 26.6024383000; 26.9471073000;26.42;0.0750109;0.013246; 25.2187629000; 0.0003679000; False; 25.2356106000; 25.3715971000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.45;0.0842521;0.009283800000000002; 0.2933125000; 0.0003681000; False; 0.3060919000; 0.4328649000;1.16;0.0421883;0.0093158; 0.2973844000; 0.0003355000; False; 0.3095122000; 0.3936276000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.68;0.0900312;0.0098818; 0.5052570000; 0.0002109000; False; 0.5186382000; 0.6478207000;1.56;0.0429552;0.023259899999999997; 0.4896984000; 0.0003241000; False; 0.5167593000; 0.6173679000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;1.11;0.1041841;0.010306599999999999; 0.9493972000; 0.0002232000; False; 0.9623464000; 1.1116600000;1.6;0.048819;0.0098642; 0.7023184000; 0.0002646000; False; 0.7153935000; 0.8217857000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;1.43;0.10524499999999999;0.009118600000000001; 1.3437570000; 0.0003140000; False; 1.3556313000; 1.4996651000;2.19;0.047901299999999994;0.0100635; 1.1193713000; 0.0003126000; False; 1.1321464000; 1.2346720000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;1.59;0.1203083;0.010070200000000001; 1.4341477000; 0.0002268000; False; 1.4471635000; 1.6096098000;2.81;0.0527415;0.010601900000000001; 1.7318819000; 0.0003588000; False; 1.7458141000; 1.8591031000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;2.58;0.1667736;0.0103816; 2.4920171000; 0.0003452000; False; 2.5053355000; 2.7029689000;2.99;0.0407608;0.0067235; 1.9610679000; 0.0002830000; False; 1.9698269000; 2.0598271000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;3.28;0.15300439999999998;0.0105873; 3.1580955000; 0.0003437000; False; 3.1717119000; 3.3701892000;4.1;0.0564891;0.011015400000000002; 2.8762987000; 0.0002522000; False; 2.8905509000; 3.0079326000
