name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-inclusion_check;automata-min-inclusion_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.23;0.1519187;0.0090733;0.025972; 0.0425909000; True; 0.0802369000; 0.2730746000;0.88;0.052617199999999996;0.008957300000000001;0.0132821; 0.0382409000; True; 0.0630148000; 0.1727514000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.19;0.14147259999999998;0.0091046;0.015328099999999999; 0.0498986000; True; 0.0767919000; 0.2612459000;0.86;0.048504700000000005;0.008639;0.014281; 0.0549746000; True; 0.0810507000; 0.1876454000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.18;0.1088793;0.0057157;0.0326838; 0.0273365000; True; 0.0676312000; 0.2348181000;1.02;0.05953090000000001;0.0086501;0.0581717; 0.0449133000; True; 0.1143971000; 0.2298532000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.17;0.0663745;0.009362;0.0197451; 0.0402073000; True; 0.0726273000; 0.1665342000;1.08;0.0932699;0.008689500000000001;0.0163935; 0.0761498000; True; 0.1075150000; 0.2685613000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.19;0.09812910000000001;0.0091593;0.013752299999999999; 0.0380191000; True; 0.0636428000; 0.2077368000;0.82;0.024326600000000004;0.008790800000000001;0.0135472; 0.0416608000; True; 0.0662147000; 0.1231700000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.14;0.0485039;0.006197499999999999;0.0099271; 0.0249175000; True; 0.0430305000; 0.1336246000;0.89;0.0236009;0.005877599999999999;0.0141698; 0.0383195000; True; 0.0600666000; 0.1162039000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.12;0.051824999999999996;0.0056312;0.0106402; 0.0264327000; True; 0.0450889000; 0.1231272000;1.07;0.0455867;0.005407799999999999;0.007958300000000001; 0.0243362000; True; 0.0394455000; 0.1370903000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.17;0.0569218;0.0055088;0.0139488; 0.0373474000; True; 0.0589295000; 0.1592992000;0.99;0.0469828;0.008579700000000001;0.0131666; 0.0361867000; True; 0.0605091000; 0.1643413000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.2;0.0872925;0.0083899;0.0124315; 0.0392827000; True; 0.0626239000; 0.1903037000;1.02;0.0915591;0.008988300000000003;0.014328200000000001; 0.0466670000; True; 0.0733234000; 0.2486877000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.21;0.1051825;0.0082578;0.012244; 0.0441164000; True; 0.0673066000; 0.2133017000;1.08;0.06148459999999999;0.008557200000000001;0.013217000000000001; 0.0438220000; True; 0.0679638000; 0.1889537000
