name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.23; 0.1707324000;0.0094061; 0.0561551000; 0.0001586000; False; 0.0680913000; 0.2810205000;1.15; 0.0506044000;0.0099474; 0.0826518000; 0.0001970000; False; 0.0952888000; 0.2036893000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.17; 0.1621586000;0.0057107; 0.0393216000; 0.0001432000; False; 0.0467814000; 0.2348359000;0.97; 0.0516478000;0.009961999999999999; 0.0794834000; 0.0002435000; False; 0.0926389000; 0.2057292000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.18; 0.1349030000;0.0084258; 0.0443357000; 0.0001605000; False; 0.0553746000; 0.2305864000;0.95; 0.0252792000;0.007963; 0.0489460000; 0.0001932000; False; 0.0588179000; 0.1191809000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;5.24; 4.8247459000;0.008521299999999999; 0.3840972000; 0.0003100000; False; 0.3952891000; 5.2617440000;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.48; 0.3876784000;0.00788; 0.0589274000; 0.0001891000; False; 0.0692768000; 0.4873801000;6.85; 0.0367386000;0.0054916; 0.0575753000; 0.0001236000; False; 0.0647466000; 0.1501388000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.22; 0.0840013000;0.0105114; 0.0755885000; 0.0002131000; False; 0.0892380000; 0.2117133000;1.39; 0.0439864000;0.0097484; 0.0962350000; 0.0002854000; False; 0.1087839000; 0.2087016000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.33; 0.2048217000;0.0058758; 0.0541778000; 0.0001922000; False; 0.0623292000; 0.3023746000;1.93; 0.0299564000;0.0092359; 0.0632059000; 0.0002359000; False; 0.0750913000; 0.1453739000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.17; 0.0591567000;0.0096354; 0.0494319000; 0.0004555000; False; 0.0624118000; 0.1652187000;0.93; 0.0368426000;0.008602100000000001; 0.0469494000; 0.0001626000; False; 0.0579954000; 0.1475000000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.28; 0.1357773000;0.0088355; 0.0839297000; 0.0003115000; False; 0.0954162000; 0.2727918000;1.4; 0.0409473000;0.0092871; 0.0924193000; 0.0002827000; False; 0.1045097000; 0.1985582000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.45; 0.3153971000;0.0089747; 0.0663660000; 0.0001620000; False; 0.0781823000; 0.4488215000;2.82; 0.0433585000;0.0088722; 0.0997234000; 0.0002169000; False; 0.1111341000; 0.2091580000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_597.0.mata;0.25; 0.1423701000;0.0061873; 0.0529745000; 0.0002349000; False; 0.0610829000; 0.2775610000;1.9; 0.0396960000;0.0083739; 0.0886951000; 0.0001746000; False; 0.0997134000; 0.1893289000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_657.0.mata;0.45; 0.2538922000;0.0083898; 0.0865986000; 0.0003102000; False; 0.0977704000; 0.3941248000;1.97; 0.0265436000;0.0056883; 0.0556474000; 0.0001336000; False; 0.0630271000; 0.1257436000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;0.48; 0.2835519000;0.0080246; 0.0932355000; 0.0002106000; False; 0.1038462000; 0.4291965000;2.55; 0.0551375000;0.010631; 0.1183414000; 0.0003978000; False; 0.1322652000; 0.2568846000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;0.29; 0.1877966000;0.0048451; 0.0541955000; 0.0001377000; False; 0.0606975000; 0.2777813000;2.86; 0.0499918000;0.0106605; 0.1192459000; 0.0003917000; False; 0.1332464000; 0.2464247000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_673.0.mata;0.72; 0.5261581000;0.0075494; 0.0850328000; 0.0002290000; False; 0.0951313000; 0.6642023000;8.15; 0.0886546000;0.0107571; 0.0927863000; 0.0004215000; False; 0.1070770000; 0.2684353000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_678.0.mata;0.74; 0.5608763000;0.0081714; 0.0633246000; 0.0001569000; False; 0.0741390000; 0.6793643000;6.96; 0.0338161000;0.0069952; 0.0795526000; 0.0003038000; False; 0.0891001000; 0.1662615000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_798.0.mata;13.51; 13.7383503000;0.0066744; 0.3596989000; 0.0002005000; False; 0.3681451000; 14.1536457000;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
