name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.16; 0.0602527000;0.005727299999999999; 0.0466505000; 0.0001261000; False; 0.0540812000; 0.2270610000;0.84; 0.0734154000;0.0101147; 0.0686325000; 0.0001522000; False; 0.0813657000; 0.2221985000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.21; 0.0653117000;0.0088152; 0.0744058000; 0.0002898000; False; 0.0858436000; 0.2623544000;0.75; 0.0373802000;0.0070483; 0.0732779000; 0.0001897000; False; 0.0825416000; 0.1568935000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.17; 0.0505926000;0.0085144; 0.0493934000; 0.0001788000; False; 0.0604247000; 0.2266627000;0.9; 0.0557562000;0.008711400000000001; 0.0492867000; 0.0001652000; False; 0.0604856000; 0.1970798000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;2.46; 1.5206878000;0.0085749; 0.4323454000; 0.0001930000; False; 0.4434370000; 2.4960602000;3.09; 1.6287952000;0.0084814; 0.4290450000; 0.0001501000; False; 0.4399822000; 2.5927641000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.38; 0.2106750000;0.0056738; 0.0614093000; 0.0001525000; False; 0.0689969000; 0.4198470000;1.02; 0.1780185000;0.0056005000000000004; 0.0615076000; 0.0001584000; False; 0.0690485000; 0.3383999000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.24; 0.0707775000;0.0097197; 0.0934482000; 0.0002250000; False; 0.1060400000; 0.2509715000;0.93; 0.0959264000;0.0087636; 0.0941718000; 0.0001922000; False; 0.1055695000; 0.2792543000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.23; 0.0786941000;0.0180991; 0.0871029000; 0.0001691000; False; 0.1079148000; 0.2632210000;1.0; 0.1168379000;0.008229199999999999; 0.0880876000; 0.0001917000; False; 0.0987334000; 0.2926752000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.16; 0.0404642000;0.0087968; 0.0552194000; 0.0001738000; False; 0.0665282000; 0.1581597000;0.87; 0.0401469000;0.0085404; 0.0469444000; 0.0001750000; False; 0.0580161000; 0.1502707000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.21; 0.0800340000;0.008843499999999999; 0.1213457000; 0.0001585000; False; 0.1362041000; 0.2611499000;0.96; 0.0672217000;0.0055299; 0.0911749000; 0.0002103000; False; 0.0985495000; 0.2269711000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.23; 0.1310969000;0.0058334; 0.0615861000; 0.0001325000; False; 0.0694113000; 0.2573820000;0.89; 0.0754963000;0.0091865; 0.1000766000; 0.0001870000; False; 0.1119421000; 0.2847261000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_597.0.mata;0.22; 0.1428668000;0.0057916; 0.0549903000; 0.0001792000; False; 0.0628052000; 0.2677630000;0.84; 0.0726686000;0.009531999999999999; 0.0729305000; 0.0001642000; False; 0.0850564000; 0.2104931000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_657.0.mata;0.21; 0.1325160000;0.0057687; 0.0550435000; 0.0001307000; False; 0.0626985000; 0.2440634000;0.92; 0.1143989000;0.0059331; 0.0553948000; 0.0001267000; False; 0.0631144000; 0.2273049000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;0.25; 0.0824438000;0.0089753; 0.0826901000; 0.0001323000; False; 0.0941537000; 0.2544269000;0.96; 0.0932691000;0.0056917; 0.0604376000; 0.0001272000; False; 0.0677721000; 0.2405494000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;0.35; 0.1449607000;0.009162199999999999; 0.1027000000; 0.0002322000; False; 0.1146250000; 0.3454065000;0.96; 0.1153058000;0.0085645; 0.1307243000; 0.0002409000; False; 0.1417904000; 0.3410249000
