name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.11; 0.0798184000;0.0086405; 0.0063053000; 0.0001621000; False; 0.0174154000; 0.1594637000;0.79; 0.0259457000;0.0061377; 0.0054448000; 0.0001095000; False; 0.0132230000; 0.0821025000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.08; 0.0210240000;0.009218; 0.0124428000; 0.0001752000; False; 0.0276251000; 0.0821322000;0.84; 0.0236088000;0.008481299999999999; 0.0061017000; 0.0001587000; False; 0.0170538000; 0.0774957000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.08; 0.0202426000;0.0244802; 0.0064632000; 0.0003150000; False; 0.0625256000; 0.1174366000;0.77; 0.0221251000;0.0078947; 0.0060991000; 0.0001583000; False; 0.0157571000; 0.0682663000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.09; 0.0292027000;0.009788400000000001; 0.0069821000; 0.0001989000; False; 0.0200740000; 0.0902502000;0.73; 0.0327645000;0.0081566; 0.0060160000; 0.0001639000; False; 0.0166228000; 0.0991857000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.12; 0.0358416000;0.026265900000000002; 0.0065494000; 0.0001670000; False; 0.0354749000; 0.1391954000;0.75; 0.0430742000;0.0085715; 0.0062153000; 0.0002177000; False; 0.0173183000; 0.1431645000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.11; 0.0339932000;0.0087513; 0.0067358000; 0.0001732000; False; 0.0180955000; 0.1034609000;0.88; 0.0358629000;0.0096606; 0.0071956000; 0.0002107000; False; 0.0196910000; 0.1078861000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.09; 0.0217444000;0.0098039; 0.0153524000; 0.0001818000; False; 0.0285335000; 0.0870204000;0.83; 0.0355508000;0.0054437999999999995; 0.0038821000; 0.0001069000; False; 0.0109941000; 0.0929702000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.11; 0.0333236000;0.008792; 0.0062384000; 0.0001608000; False; 0.0178638000; 0.1002004000;0.75; 0.0329014000;0.0086927; 0.0070017000; 0.0001770000; False; 0.0183402000; 0.1047461000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.11; 0.0574592000;0.0102825; 0.0114881000; 0.0001729000; False; 0.0243327000; 0.1546812000;0.76; 0.0228068000;0.0067987; 0.0059130000; 0.0001585000; False; 0.0145323000; 0.0818747000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.12; 0.0356181000;0.0094686; 0.0067257000; 0.0001750000; False; 0.0191636000; 0.1075979000;0.83; 0.0504272000;0.0087579; 0.0060218000; 0.0001641000; False; 0.0172919000; 0.1347658000
