name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06042.mata;0.19; 0.1195979000;0.0086093; 0.0429366000; 0.0001197000; False; 0.0538956000; 0.2386062000;0.81; 0.0463675000;0.005337000000000001; 0.0372303000; 0.0001662000; False; 0.0442143000; 0.1488569000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06076.mata;0.12; 0.0250612000;0.0165756; 0.0756099000; 0.0001444000; False; 0.1018736000; 0.1710920000;0.85; 0.0249250000;0.005422199999999999; 0.0330859000; 0.0001252000; False; 0.0401288000; 0.0976847000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06210.mata;0.09; 0.0261656000;0.0205245; 0.0190135000; 0.0001672000; False; 0.0420080000; 0.1128703000;0.82; 0.0413993000;0.0099629; 0.0064113000; 0.0001840000; False; 0.0189801000; 0.1122386000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06234.mata;0.12; 0.0406314000;0.0091176; 0.0070112000; 0.0001787000; False; 0.0187073000; 0.1160447000;0.81; 0.0455521000;0.008937200000000001; 0.0063474000; 0.0001602000; False; 0.0177431000; 0.1141630000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06244.mata;0.09; 0.0282039000;0.009607000000000001; 0.0071131000; 0.0001896000; False; 0.0194950000; 0.0820434000;0.8; 0.0836359000;0.005547; 0.0041755000; 0.0001306000; False; 0.0114336000; 0.1390838000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06264.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06295.mata;0.12; 0.0315389000;0.0093779; 0.0454352000; 0.0002015000; False; 0.0574523000; 0.1281603000;0.89; 0.0570894000;0.0057209; 0.0296035000; 0.0001380000; False; 0.0371470000; 0.1490620000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06296.mata;0.23; 0.0946497000;0.008937200000000001; 0.0907432000; 0.0001927000; False; 0.1021274000; 0.2696358000;0.87; 0.0430506000;0.006193000000000001; 0.0689978000; 0.0001932000; False; 0.0771785000; 0.1830935000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06368.mata;0.14; 0.0399718000;0.0055195; 0.0439972000; 0.0002115000; False; 0.0513404000; 0.1679195000;0.86; 0.0500374000;0.0087249; 0.0478072000; 0.0002290000; False; 0.0592638000; 0.1813037000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06421.mata;0.19; 0.0923030000;0.009697; 0.0511519000; 0.0002641000; False; 0.0642615000; 0.2266738000;0.8; 0.0647684000;0.0178341; 0.0498721000; 0.0003067000; False; 0.0785502000; 0.2104785000
