name;automata-runtime;automata-construction;automata-trim;automata-minterm;automata-interpretation;automata-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.14; 0.0708892000; 0.0086207000; 0.0025188000; 0.0133546000; 0.1375870000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.1; 0.0384838000; 0.0054346000; 0.0016711000; 0.0086899000; 0.0842527000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.12; 0.0478473000; 0.0083613000; 0.0023178000; 0.0128956000; 0.1063733000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;1.69; 1.3114832000; 0.0077245000; 0.0026808000; 0.0126546000; 1.6785350000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.23; 0.1507656000; 0.0081289000; 0.0025689000; 0.0129501000; 0.2296968000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.14; 0.0693454000; 0.0083723000; 0.0024398000; 0.0130517000; 0.1374901000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.2; 0.1184690000; 0.0081956000; 0.0023285000; 0.0129950000; 0.2033574000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.11; 0.0377986000; 0.0078958000; 0.0022363000; 0.0123602000; 0.0920243000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.09; 0.0422424000; 0.0052737000; 0.0014749000; 0.0082056000; 0.0841395000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.19; 0.1119837000; 0.0081082000; 0.0024468000; 0.0127669000; 0.1884732000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_597.0.mata;0.18; 0.1057673000; 0.0083100000; 0.0022214000; 0.0129005000; 0.1823970000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_657.0.mata;0.19; 0.1067191000; 0.0055154000; 0.0016103000; 0.0086497000; 0.1878891000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;0.14; 0.0759781000; 0.0052376000; 0.0015923000; 0.0082962000; 0.1410384000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;0.17; 0.1074689000; 0.0053316000; 0.0014668000; 0.0084267000; 0.1648463000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_673.0.mata;0.3; 0.1966081000; 0.0065158000; 0.0024705000; 0.0105621000; 0.2944735000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_678.0.mata;0.27; 0.1736709000; 0.0082545000; 0.0021722000; 0.0126166000; 0.2947042000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_798.0.mata;3.12; 2.4102152000; 0.0048900000; 0.0016894000; 0.0081340000; 3.1893666000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested6_true-unreach-call.i_7.0.mata;0.1; 0.0370765000; 0.0074057000; 0.0024129000; 0.0121639000; 0.0902714000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1070.0.mata;0.11; 0.0438822000; 0.0081338000; 0.0023988000; 0.0127153000; 0.0998946000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1072.0.mata;0.13; 0.0530436000; 0.0080944000; 0.0022605000; 0.0126978000; 0.1126184000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1107.0.mata;0.14; 0.0699179000; 0.0084250000; 0.0025016000; 0.0131542000; 0.1429494000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1117.0.mata;0.08; 0.0391624000; 0.0054280000; 0.0015836000; 0.0084908000; 0.0803194000
