name;automata-runtime;automata-construction;automata-trim;automata-minterm;automata-interpretation;automata-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.11; 0.0347665000; 0.0080334000; 0.0022437000; 0.0123884000; 0.0935624000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.11; 0.0345663000; 0.0082489000; 0.0023025000; 0.0128920000; 0.0958778000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.12; 0.0358995000; 0.0082545000; 0.0017672000; 0.0121657000; 0.0957073000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.08; 0.0245985000; 0.0053824000; 0.0014428000; 0.0085343000; 0.0667236000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.07; 0.0245591000; 0.0053366000; 0.0014169000; 0.0084839000; 0.0666697000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.11; 0.0344824000; 0.0082099000; 0.0022507000; 0.0127857000; 0.0957857000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.07; 0.0260557000; 0.0068637000; 0.0014640000; 0.0104204000; 0.0690572000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.07; 0.0258319000; 0.0080937000; 0.0021064000; 0.0123133000; 0.0713951000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.09; 0.0316998000; 0.0086693000; 0.0024478000; 0.0134289000; 0.0810030000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.1; 0.0337930000; 0.0081921000; 0.0023613000; 0.0127661000; 0.0869221000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-5.mata;0.1; 0.0301354000; 0.0085377000; 0.0024259000; 0.0130709000; 0.0813438000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-6.mata;0.09; 0.0326578000; 0.0054830000; 0.0015917000; 0.0093894000; 0.0842842000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-7.mata;0.08; 0.0209619000; 0.0051582000; 0.0015587000; 0.0081059000; 0.0647495000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-8.mata;0.08; 0.0226173000; 0.0053580000; 0.0015002000; 0.0083304000; 0.0676548000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-9.mata;0.07; 0.0202306000; 0.0053098000; 0.0014170000; 0.0083982000; 0.0567636000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03005-1.mata;0.1; 0.0343072000; 0.0083157000; 0.0023636000; 0.0129136000; 0.0879162000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03140-1.mata;0.06; 0.0209514000; 0.0053622000; 0.0014590000; 0.0082837000; 0.0555803000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-1.mata;0.09; 0.0343050000; 0.0055393000; 0.0015075000; 0.0085895000; 0.0827422000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-2.mata;0.08; 0.0334615000; 0.0051478000; 0.0014765000; 0.0080776000; 0.0780887000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-3.mata;0.09; 0.0313725000; 0.0051312000; 0.0014955000; 0.0080245000; 0.0768894000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-4.mata;0.08; 0.0368585000; 0.0082431000; 0.0022659000; 0.0127071000; 0.0831676000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-5.mata;0.07; 0.0232944000; 0.0071472000; 0.0022113000; 0.0108334000; 0.0634714000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04001-1.mata;0.08; 0.0243676000; 0.0052674000; 0.0015009000; 0.0081815000; 0.0695242000
