name;automata-runtime;automata-construction;automata-trim;automata-minterm;automata-interpretation;automata-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06042.mata;0.13; 0.0670448000; 0.0052480000; 0.0014921000; 0.0082448000; 0.1253700000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06076.mata;0.06; 0.0258297000; 0.0058197000; 0.0016465000; 0.0089909000; 0.0623400000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06210.mata;0.11; 0.0410376000; 0.0080372000; 0.0022148000; 0.0125879000; 0.0966063000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06234.mata;0.11; 0.0474279000; 0.0082783000; 0.0018206000; 0.0123584000; 0.1043946000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06244.mata;0.11; 0.0462104000; 0.0078564000; 0.0024869000; 0.0124668000; 0.1021416000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06264.mata;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06295.mata;0.09; 0.0424134000; 0.0083387000; 0.0023736000; 0.0129644000; 0.0924509000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06296.mata;0.11; 0.0601394000; 0.0082825000; 0.0024270000; 0.0131082000; 0.1134510000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06368.mata;0.08; 0.0234175000; 0.0054447000; 0.0019834000; 0.0090210000; 0.0667043000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06421.mata;0.1; 0.0418487000; 0.0083982000; 0.0023122000; 0.0129156000; 0.1003257000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06476.mata;6.46; 5.0696640000; 0.0093373000; 0.0039094000; 0.0156106000; 6.6075599000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06499.mata;0.1; 0.0358283000; 0.0053577000; 0.0018322000; 0.0087761000; 0.0871368000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06516.mata;0.09; 0.0323753000; 0.0053994000; 0.0015657000; 0.0085123000; 0.0781763000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06570.mata;0.08; 0.0331312000; 0.0082694000; 0.0022502000; 0.0126895000; 0.0867142000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06590.mata;0.13; 0.0665607000; 0.0081326000; 0.0023883000; 0.0127327000; 0.1304365000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06599.mata;0.15; 0.0732286000; 0.0054402000; 0.0017364000; 0.0086332000; 0.1405210000
