name;explicit-stats-runtime;explicit-stats-min-alph;explicit-stats-avg-alph;explicit-stats-max-alph;explicit-stats-min-states;explicit-stats-avg-states;explicit-stats-max-states;explicit-stats-min-transitions;explicit-stats-avg-transitions;explicit-stats-max-transitions;minterm-stats-runtime;minterm-stats-min-alph;minterm-stats-avg-alph;minterm-stats-max-alph;minterm-stats-min-states;minterm-stats-avg-states;minterm-stats-max-states;minterm-stats-min-transitions;minterm-stats-avg-transitions;minterm-stats-max-transitions
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-*.mata;0.36; 1; 2; 3; 2; 5; 8; 2; 6; 12;0.68; 1; 2; 3; 2; 5; 8; 2; 6; 12
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-*.mata;0.52; 1; 2; 3; 2; 5; 8; 2; 6; 12;0.74; 1; 2; 3; 2; 5; 8; 2; 6; 12
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-*.mata;0.38; 1; 2; 3; 2; 4; 8; 2; 4; 6;0.75; 1; 2; 3; 2; 4; 8; 2; 4; 6
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-*.mata;0.47; 1; 1; 2; 2; 3; 6; 2; 3; 4;0.67; 1; 1; 2; 2; 3; 6; 2; 3; 4
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-*.mata;0.5; 1; 2; 2; 2; 5; 7; 2; 7; 16;0.72; 1; 2; 2; 2; 5; 7; 2; 7; 16
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-*.mata;0.39; 0; 1; 2; 0; 3; 7; 0; 2; 5;0.73; 0; 1; 2; 0; 3; 7; 0; 2; 5
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-*.mata;0.41; 0; 1; 3; 0; 3; 10; 0; 3; 7;0.72; 0; 1; 3; 0; 3; 10; 0; 3; 7
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-*.mata;0.49; 1; 2; 2; 2; 4; 7; 2; 6; 16;0.7; 1; 2; 2; 2; 4; 7; 2; 6; 16
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-*.mata;0.43; 3; 5; 9; 10; 14; 30; 16; 16; 18;0.64; 3; 5; 9; 10; 14; 30; 16; 16; 18
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-*.mata;0.48; 2; 4; 9; 10; 14; 30; 16; 17; 18;0.73; 2; 4; 9; 10; 14; 30; 16; 17; 18
