name;explicit-stats-runtime;explicit-stats-min-alph;explicit-stats-avg-alph;explicit-stats-max-alph;explicit-stats-min-states;explicit-stats-avg-states;explicit-stats-max-states;explicit-stats-min-transitions;explicit-stats-avg-transitions;explicit-stats-max-transitions;minterm-stats-runtime;minterm-stats-min-alph;minterm-stats-avg-alph;minterm-stats-max-alph;minterm-stats-min-states;minterm-stats-avg-states;minterm-stats-max-states;minterm-stats-min-transitions;minterm-stats-avg-transitions;minterm-stats-max-transitions
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.38; 11; 11; 11; 59; 59; 59; 94; 94; 94;0.72; 11; 11; 11; 59; 59; 59; 94; 94; 94
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.5; 12; 12; 12; 65; 65; 65; 104; 104; 104;0.78; 12; 12; 12; 65; 65; 65; 104; 104; 104
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.41; 13; 13; 13; 71; 71; 71; 114; 114; 114;0.83; 13; 13; 13; 71; 71; 71; 114; 114; 114
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;0.43; 14; 14; 14; 77; 77; 77; 124; 124; 124;0.85; 14; 14; 14; 77; 77; 77; 124; 124; 124
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;0.48; 15; 15; 15; 83; 83; 83; 134; 134; 134;0.69; 15; 15; 15; 83; 83; 83; 134; 134; 134
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;0.45; 16; 16; 16; 89; 89; 89; 144; 144; 144;0.85; 16; 16; 16; 89; 89; 89; 144; 144; 144
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;0.54; 17; 17; 17; 95; 95; 95; 154; 154; 154;0.78; 17; 17; 17; 95; 95; 95; 154; 154; 154
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;0.41; 18; 18; 18; 101; 101; 101; 164; 164; 164;0.76; 18; 18; 18; 101; 101; 101; 164; 164; 164
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;0.52; 19; 19; 19; 107; 107; 107; 174; 174; 174;0.86; 19; 19; 19; 107; 107; 107; 174; 174; 174
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;0.52; 20; 20; 20; 113; 113; 113; 184; 184; 184;0.89; 20; 20; 20; 113; 113; 113; 184; 184; 184
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata;0.39; 3; 3; 3; 11; 11; 11; 14; 14; 14;0.71; 3; 3; 3; 11; 11; 11; 14; 14; 14
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-20-*.mata;0.54; 21; 21; 21; 119; 119; 119; 194; 194; 194;0.89; 21; 21; 21; 119; 119; 119; 194; 194; 194
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-21-*.mata;0.42; 22; 22; 22; 125; 125; 125; 204; 204; 204;0.9; 22; 22; 22; 125; 125; 125; 204; 204; 204
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-22-*.mata;0.49; 23; 23; 23; 131; 131; 131; 214; 214; 214;0.98; 23; 23; 23; 131; 131; 131; 214; 214; 214
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-23-*.mata;0.52; 24; 24; 24; 137; 137; 137; 224; 224; 224;0.96; 24; 24; 24; 137; 137; 137; 224; 224; 224
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-24-*.mata;0.42; 25; 25; 25; 143; 143; 143; 234; 234; 234;0.93; 25; 25; 25; 143; 143; 143; 234; 234; 234
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-25-*.mata;0.48; 26; 26; 26; 149; 149; 149; 244; 244; 244;1.1; 26; 26; 26; 149; 149; 149; 244; 244; 244
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-26-*.mata;0.52; 27; 27; 27; 155; 155; 155; 254; 254; 254;1.01; 27; 27; 27; 155; 155; 155; 254; 254; 254
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-27-*.mata;0.44; 28; 28; 28; 161; 161; 161; 264; 264; 264;1.01; 28; 28; 28; 161; 161; 161; 264; 264; 264
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-28-*.mata;0.44; 29; 29; 29; 167; 167; 167; 274; 274; 274;1.17; 29; 29; 29; 167; 167; 167; 274; 274; 274
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-29-*.mata;0.51; 30; 30; 30; 173; 173; 173; 284; 284; 284;1.02; 30; 30; 30; 173; 173; 173; 284; 284; 284
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-3-*.mata;0.48; 4; 4; 4; 17; 17; 17; 24; 24; 24;0.7; 4; 4; 4; 17; 17; 17; 24; 24; 24
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-30-*.mata;0.46; 31; 31; 31; 179; 179; 179; 294; 294; 294;1.28; 31; 31; 31; 179; 179; 179; 294; 294; 294
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-31-*.mata;0.44; 32; 32; 32; 185; 185; 185; 304; 304; 304;1.13; 32; 32; 32; 185; 185; 185; 304; 304; 304
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-32-*.mata;0.55; 33; 33; 33; 191; 191; 191; 314; 314; 314;1.28; 33; 33; 33; 191; 191; 191; 314; 314; 314
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-33-*.mata;0.45; 34; 34; 34; 197; 197; 197; 324; 324; 324;1.25; 34; 34; 34; 197; 197; 197; 324; 324; 324
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-34-*.mata;0.44; 35; 35; 35; 203; 203; 203; 334; 334; 334;1.44; 35; 35; 35; 203; 203; 203; 334; 334; 334
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-35-*.mata;0.5; 36; 36; 36; 209; 209; 209; 344; 344; 344;1.07; 36; 36; 36; 209; 209; 209; 344; 344; 344
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-36-*.mata;0.42; 37; 37; 37; 215; 215; 215; 354; 354; 354;1.48; 37; 37; 37; 215; 215; 215; 354; 354; 354
