name;explicit-stats-runtime;explicit-stats-min-alph;explicit-stats-avg-alph;explicit-stats-max-alph;explicit-stats-min-states;explicit-stats-avg-states;explicit-stats-max-states;explicit-stats-min-transitions;explicit-stats-avg-transitions;explicit-stats-max-transitions;minterm-stats-runtime;minterm-stats-min-alph;minterm-stats-avg-alph;minterm-stats-max-alph;minterm-stats-min-states;minterm-stats-avg-states;minterm-stats-max-states;minterm-stats-min-transitions;minterm-stats-avg-transitions;minterm-stats-max-transitions
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance05996-*.mata;0.52; 70; 70; 70; 4; 22; 39; 280; 1505; 2730;0.74; 70; 70; 70; 4; 22; 39; 280; 1505; 2730
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance05997-*.mata;0.55; 52; 56; 59; 27; 51; 75; 106; 850; 1593;0.8; 52; 56; 59; 27; 51; 75; 106; 850; 1593
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06000-*.mata;0.35; 21; 59; 72; 8; 24; 39; 188; 680; 1723;0.63; 21; 59; 72; 8; 24; 39; 188; 680; 1723
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06001-*.mata;0.49; 14; 35; 50; 11; 20; 27; 101; 573; 1350;0.58; 14; 35; 50; 11; 20; 27; 101; 573; 1350
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06006-*.mata;0.41; 24; 33; 37; 22; 28; 39; 42; 569; 851;0.66; 24; 33; 37; 22; 28; 39; 42; 569; 851
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06007-*.mata;0.52; 14; 36; 47; 22; 35; 50; 77; 616; 1034;0.72; 14; 36; 47; 22; 35; 50; 77; 616; 1034
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06010-*.mata;0.46; 71; 71; 71; 8; 15; 22; 568; 1004; 1441;0.74; 71; 71; 71; 8; 15; 22; 568; 1004; 1441
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06011-*.mata;0.5; 29; 29; 29; 20; 22; 25; 107; 471; 725;0.7; 29; 29; 29; 20; 22; 25; 107; 471; 725
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06016-*.mata;0.5; 12; 36; 51; 4; 26; 53; 22; 607; 1632;0.62; 12; 36; 51; 4; 26; 53; 22; 607; 1632
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06017-*.mata;0.44; 12; 14; 16; 11; 12; 13; 102; 139; 176;0.74; 12; 14; 16; 11; 12; 13; 102; 139; 176
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06020-*.mata;0.48; 11; 33; 57; 12; 35; 59; 58; 1039; 3249;0.61; 11; 33; 57; 12; 35; 59; 58; 1039; 3249
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06021-*.mata;0.39; 12; 43; 67; 10; 40; 61; 77; 1151; 3216;0.71; 12; 43; 67; 10; 40; 61; 77; 1151; 3216
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06026-*.mata;0.47; 12; 27; 45; 16; 33; 56; 46; 876; 2520;0.78; 12; 27; 45; 16; 33; 56; 46; 876; 2520
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06027-*.mata;0.46; 42; 42; 42; 28; 47; 66; 1176; 1974; 2772;0.74; 42; 42; 42; 28; 47; 66; 1176; 1974; 2772
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06030-*.mata;0.46; 19; 54; 71; 19; 23; 27; 28; 1027; 1704;0.8; 19; 54; 71; 19; 23; 27; 28; 1027; 1704
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06031-*.mata;0.49; 19; 34; 56; 19; 46; 71; 46; 1396; 3976;0.6; 19; 34; 56; 19; 46; 71; 46; 1396; 3976
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06036-*.mata;0.44; 11; 47; 63; 9; 19; 33; 14; 711; 1638;0.73; 11; 47; 63; 9; 19; 33; 14; 711; 1638
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06040-*.mata;0.4; 32; 72; 82; 14; 37; 55; 47; 2079; 4510;0.76; 32; 72; 82; 14; 37; 55; 47; 2079; 4510
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06041-*.mata;0.49; 27; 27; 27; 16; 18; 20; 99; 266; 432;0.7; 27; 27; 27; 16; 18; 20; 99; 266; 432
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06046-*.mata;0.5; 11; 40; 60; 6; 73; 238; 43; 775; 1980;0.67; 11; 40; 60; 6; 73; 238; 43; 775; 1980
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06047-*.mata;0.42; 15; 36; 80; 4; 25; 40; 37; 127; 320;0.64; 15; 36; 80; 4; 25; 40; 37; 127; 320
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06050-*.mata;0.43; 79; 79; 79; 15; 43; 71; 1185; 3397; 5609;0.67; 79; 79; 79; 15; 43; 71; 1185; 3397; 5609
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06051-*.mata;0.5; 53; 62; 71; 4; 16; 28; 105; 490; 1136;0.7; 53; 62; 71; 4; 16; 28; 105; 490; 1136
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06056-*.mata;0.48; 64; 71; 77; 6; 16; 21; 127; 178; 249;0.69; 64; 71; 77; 6; 16; 21; 127; 178; 249
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06057-*.mata;0.49; 35; 35; 35; 8; 24; 39; 144; 754; 1365;0.72; 35; 35; 35; 8; 24; 39; 144; 754; 1365
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06060-*.mata;0.5; 23; 48; 67; 24; 48; 88; 36; 926; 3149;0.68; 23; 48; 67; 24; 48; 88; 36; 926; 3149
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06061-*.mata;0.54; 14; 63; 78; 8; 33; 81; 23; 2139; 6318;0.62; 14; 63; 78; 8; 33; 81; 23; 2139; 6318
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06066-*.mata;0.5; 18; 18; 18; 7; 20; 34; 126; 369; 612;0.71; 18; 18; 18; 7; 20; 34; 126; 369; 612
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06067-*.mata;0.53; 42; 56; 60; 19; 32; 51; 179; 447; 1140;0.58; 42; 56; 60; 19; 32; 51; 179; 447; 1140
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06070-*.mata;0.48; 43; 43; 43; 9; 24; 37; 387; 1021; 1591;0.63; 43; 43; 43; 9; 24; 37; 387; 1021; 1591
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06071-*.mata;0.49; 20; 31; 41; 17; 24; 37; 54; 633; 1517;0.78; 20; 31; 41; 17; 24; 37; 54; 633; 1517
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06076-*.mata;0.52; 21; 57; 66; 14; 60; 157; 38; 3598; 10362;0.67; 21; 57; 66; 14; 60; 157; 38; 3598; 10362
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06077-*.mata;0.48; 16; 48; 58; 20; 29; 51; 21; 1412; 2958;0.61; 16; 48; 58; 20; 29; 51; 21; 1412; 2958
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06082-*.mata;0.48; 53; 53; 53; 7; 27; 47; 371; 1431; 2491;0.77; 53; 53; 53; 7; 27; 47; 371; 1431; 2491
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06083-*.mata;0.58; 17; 57; 79; 28; 91; 288; 32; 5460; 22752;0.76; 17; 57; 79; 28; 91; 288; 32; 5460; 22752
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06084-*.mata;0.5; 73; 73; 73; 18; 18; 19; 1314; 1350; 1387;0.6; 73; 73; 73; 18; 18; 19; 1314; 1350; 1387
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06085-*.mata;0.45; 31; 46; 54; 5; 16; 35; 53; 135; 270;0.6; 31; 46; 54; 5; 16; 35; 53; 135; 270
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06088-*.mata;0.51; 12; 33; 56; 22; 30; 34; 40; 678; 1293;0.75; 12; 33; 56; 22; 30; 34; 40; 678; 1293
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06089-*.mata;0.43; 28; 28; 28; 9; 31; 53; 108; 180; 252;0.76; 28; 28; 28; 9; 31; 53; 108; 180; 252
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06092-*.mata;0.51; 23; 61; 82; 24; 40; 56; 32; 2319; 4592;0.77; 23; 61; 82; 24; 40; 56; 32; 2319; 4592
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06093-*.mata;0.54; 11; 40; 72; 6; 13; 19; 30; 538; 1080;0.77; 11; 40; 72; 6; 13; 19; 30; 538; 1080
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06094-*.mata;0.4; 78; 78; 78; 16; 31; 45; 1248; 2387; 3510;0.69; 78; 78; 78; 16; 31; 45; 1248; 2387; 3510
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06095-*.mata;0.42; 14; 46; 78; 11; 34; 55; 21; 2050; 4290;0.73; 14; 46; 78; 11; 34; 55; 21; 2050; 4290
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06098-*.mata;0.47; 11; 54; 74; 5; 13; 35; 22; 666; 2590;0.73; 11; 54; 74; 5; 13; 35; 22; 666; 2590
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06099-*.mata;0.38; 72; 72; 72; 11; 37; 78; 792; 2640; 5616;0.6; 72; 72; 72; 11; 37; 78; 792; 2640; 5616
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06102-*.mata;0.44; 19; 64; 87; 19; 32; 48; 33; 1787; 4176;0.65; 19; 64; 87; 19; 32; 48; 33; 1787; 4176
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06103-*.mata;0.5; 22; 55; 68; 13; 36; 60; 38; 1429; 4080;0.76; 22; 55; 68; 13; 36; 60; 38; 1429; 4080
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06104-*.mata;0.49; 16; 22; 29; 22; 24; 26; 23; 250; 477;0.79; 16; 22; 29; 22; 24; 26; 23; 250; 477
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06105-*.mata;0.36; 18; 42; 57; 25; 56; 90; 35; 1570; 3534;0.78; 18; 42; 57; 25; 56; 90; 35; 1570; 3534
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06108-*.mata;0.53; 73; 73; 73; 7; 20; 42; 133; 403; 730;0.66; 73; 73; 73; 7; 20; 42; 133; 403; 730
