name;explicit-stats-runtime;explicit-stats-min-alph;explicit-stats-avg-alph;explicit-stats-max-alph;explicit-stats-min-states;explicit-stats-avg-states;explicit-stats-max-states;explicit-stats-min-transitions;explicit-stats-avg-transitions;explicit-stats-max-transitions;minterm-stats-runtime;minterm-stats-min-alph;minterm-stats-avg-alph;minterm-stats-max-alph;minterm-stats-min-states;minterm-stats-avg-states;minterm-stats-max-states;minterm-stats-min-transitions;minterm-stats-avg-transitions;minterm-stats-max-transitions
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.48; 11; 11; 11; 59; 59; 59; 94; 94; 94;0.58; 11; 11; 11; 59; 59; 59; 94; 94; 94
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.48; 12; 12; 12; 65; 65; 65; 104; 104; 104;0.67; 12; 12; 12; 65; 65; 65; 104; 104; 104
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.52; 13; 13; 13; 71; 71; 71; 114; 114; 114;0.84; 13; 13; 13; 71; 71; 71; 114; 114; 114
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;0.5; 14; 14; 14; 77; 77; 77; 124; 124; 124;0.78; 14; 14; 14; 77; 77; 77; 124; 124; 124
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;0.43; 15; 15; 15; 83; 83; 83; 134; 134; 134;0.77; 15; 15; 15; 83; 83; 83; 134; 134; 134
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;0.47; 16; 16; 16; 89; 89; 89; 144; 144; 144;0.86; 16; 16; 16; 89; 89; 89; 144; 144; 144
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;0.51; 17; 17; 17; 95; 95; 95; 154; 154; 154;0.86; 17; 17; 17; 95; 95; 95; 154; 154; 154
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;0.43; 18; 18; 18; 101; 101; 101; 164; 164; 164;0.9; 18; 18; 18; 101; 101; 101; 164; 164; 164
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;0.52; 19; 19; 19; 107; 107; 107; 174; 174; 174;0.93; 19; 19; 19; 107; 107; 107; 174; 174; 174
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;0.5; 20; 20; 20; 113; 113; 113; 184; 184; 184;0.87; 20; 20; 20; 113; 113; 113; 184; 184; 184
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata;0.43; 3; 3; 3; 11; 11; 11; 14; 14; 14;0.65; 3; 3; 3; 11; 11; 11; 14; 14; 14
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-20-*.mata;0.42; 21; 21; 21; 119; 119; 119; 194; 194; 194;0.89; 21; 21; 21; 119; 119; 119; 194; 194; 194
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-21-*.mata;0.54; 22; 22; 22; 125; 125; 125; 204; 204; 204;0.81; 22; 22; 22; 125; 125; 125; 204; 204; 204
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-22-*.mata;0.51; 23; 23; 23; 131; 131; 131; 214; 214; 214;0.89; 23; 23; 23; 131; 131; 131; 214; 214; 214
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-23-*.mata;0.39; 24; 24; 24; 137; 137; 137; 224; 224; 224;1.04; 24; 24; 24; 137; 137; 137; 224; 224; 224
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-24-*.mata;0.46; 25; 25; 25; 143; 143; 143; 234; 234; 234;1.02; 25; 25; 25; 143; 143; 143; 234; 234; 234
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-25-*.mata;0.54; 26; 26; 26; 149; 149; 149; 244; 244; 244;0.84; 26; 26; 26; 149; 149; 149; 244; 244; 244
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-26-*.mata;0.51; 27; 27; 27; 155; 155; 155; 254; 254; 254;0.9; 27; 27; 27; 155; 155; 155; 254; 254; 254
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-27-*.mata;0.48; 28; 28; 28; 161; 161; 161; 264; 264; 264;1.1; 28; 28; 28; 161; 161; 161; 264; 264; 264
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-28-*.mata;0.55; 29; 29; 29; 167; 167; 167; 274; 274; 274;0.96; 29; 29; 29; 167; 167; 167; 274; 274; 274
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-29-*.mata;0.53; 30; 30; 30; 173; 173; 173; 284; 284; 284;1.06; 30; 30; 30; 173; 173; 173; 284; 284; 284
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-3-*.mata;0.45; 4; 4; 4; 17; 17; 17; 24; 24; 24;0.69; 4; 4; 4; 17; 17; 17; 24; 24; 24
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-30-*.mata;0.49; 31; 31; 31; 179; 179; 179; 294; 294; 294;1.25; 31; 31; 31; 179; 179; 179; 294; 294; 294
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-31-*.mata;0.52; 32; 32; 32; 185; 185; 185; 304; 304; 304;1.21; 32; 32; 32; 185; 185; 185; 304; 304; 304
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-32-*.mata;0.41; 33; 33; 33; 191; 191; 191; 314; 314; 314;1.1; 33; 33; 33; 191; 191; 191; 314; 314; 314
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-33-*.mata;0.49; 34; 34; 34; 197; 197; 197; 324; 324; 324;1.14; 34; 34; 34; 197; 197; 197; 324; 324; 324
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-34-*.mata;0.49; 35; 35; 35; 203; 203; 203; 334; 334; 334;1.46; 35; 35; 35; 203; 203; 203; 334; 334; 334
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-35-*.mata;0.51; 36; 36; 36; 209; 209; 209; 344; 344; 344;1.4; 36; 36; 36; 209; 209; 209; 344; 344; 344
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-36-*.mata;0.54; 37; 37; 37; 215; 215; 215; 354; 354; 354;1.3; 37; 37; 37; 215; 215; 215; 354; 354; 354
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-37-*.mata;0.45; 38; 38; 38; 221; 221; 221; 364; 364; 364;1.34; 38; 38; 38; 221; 221; 221; 364; 364; 364
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-38-*.mata;0.59; 39; 39; 39; 227; 227; 227; 374; 374; 374;1.44; 39; 39; 39; 227; 227; 227; 374; 374; 374
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-39-*.mata;0.53; 40; 40; 40; 233; 233; 233; 384; 384; 384;1.33; 40; 40; 40; 233; 233; 233; 384; 384; 384
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-4-*.mata;0.45; 5; 5; 5; 23; 23; 23; 34; 34; 34;0.54; 5; 5; 5; 23; 23; 23; 34; 34; 34
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-40-*.mata;0.52; 41; 41; 41; 239; 239; 239; 394; 394; 394;1.71; 41; 41; 41; 239; 239; 239; 394; 394; 394
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-41-*.mata;0.58; 42; 42; 42; 245; 245; 245; 404; 404; 404;1.68; 42; 42; 42; 245; 245; 245; 404; 404; 404
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-42-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.6; 43; 43; 43; 251; 251; 251; 414; 414; 414
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-43-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.64; 44; 44; 44; 257; 257; 257; 424; 424; 424
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-44-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.95; 45; 45; 45; 263; 263; 263; 434; 434; 434
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-45-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.93; 46; 46; 46; 269; 269; 269; 444; 444; 444
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-46-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.98; 47; 47; 47; 275; 275; 275; 454; 454; 454
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-47-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.24; 48; 48; 48; 281; 281; 281; 464; 464; 464
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-48-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.92; 49; 49; 49; 287; 287; 287; 474; 474; 474
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-49-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.15; 50; 50; 50; 293; 293; 293; 484; 484; 484
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-5-*.mata;0.45; 6; 6; 6; 29; 29; 29; 44; 44; 44;0.69; 6; 6; 6; 29; 29; 29; 44; 44; 44
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-50-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.22; 51; 51; 51; 299; 299; 299; 494; 494; 494
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-51-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.4; 52; 52; 52; 305; 305; 305; 504; 504; 504
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-52-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.42; 53; 53; 53; 311; 311; 311; 514; 514; 514
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-53-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.46; 54; 54; 54; 317; 317; 317; 524; 524; 524
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-54-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.61; 55; 55; 55; 323; 323; 323; 534; 534; 534
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-55-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.49; 56; 56; 56; 329; 329; 329; 544; 544; 544
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-56-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.5; 57; 57; 57; 335; 335; 335; 554; 554; 554
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-57-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.55; 58; 58; 58; 341; 341; 341; 564; 564; 564
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-58-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.58; 59; 59; 59; 347; 347; 347; 574; 574; 574
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-59-*.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.86; 60; 60; 60; 353; 353; 353; 584; 584; 584
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-6-*.mata;0.44; 7; 7; 7; 35; 35; 35; 54; 54; 54;0.56; 7; 7; 7; 35; 35; 35; 54; 54; 54
