name;explicit-stats-runtime;explicit-stats-min-alph;explicit-stats-avg-alph;explicit-stats-max-alph;explicit-stats-min-states;explicit-stats-avg-states;explicit-stats-max-states;explicit-stats-min-transitions;explicit-stats-avg-transitions;explicit-stats-max-transitions;minterm-stats-runtime;minterm-stats-min-alph;minterm-stats-avg-alph;minterm-stats-max-alph;minterm-stats-min-states;minterm-stats-avg-states;minterm-stats-max-states;minterm-stats-min-transitions;minterm-stats-avg-transitions;minterm-stats-max-transitions
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.34; 32; 32; 32; 151; 151; 151; 9654; 9654; 9654;0.85; 12; 12; 12; 151; 151; 151; 3621; 3621; 3621
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.36; 32; 32; 32; 116; 116; 116; 7402; 7402; 7402;0.95; 12; 12; 12; 116; 116; 116; 2777; 2777; 2777
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.53; 64; 64; 64; 22; 22; 22; 3112; 3112; 3112;0.77; 8; 8; 8; 22; 22; 22; 389; 389; 389
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;8.12; 8; 8; 8; 51; 51; 51; 1678; 1678; 1678
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.53; 64; 64; 64; 41; 41; 41; 10608; 10608; 10608;1.08; 8; 8; 8; 41; 41; 41; 1326; 1326; 1326
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.53; 128; 128; 128; 49; 49; 49; 25600; 25600; 25600;1.77; 8; 8; 8; 49; 49; 49; 1600; 1600; 1600
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.47; 32; 32; 32; 13; 13; 13; 804; 804; 804;0.65; 8; 8; 8; 13; 13; 13; 201; 201; 201
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.51; 64; 64; 64; 41; 41; 41; 10608; 10608; 10608;1.13; 8; 8; 8; 41; 41; 41; 1326; 1326; 1326
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.54; 8; 8; 8; 51; 51; 51; 1678; 1678; 1678
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_597.0.mata;0.52; 128; 128; 128; 41; 41; 41; 20768; 20768; 20768;1.97; 8; 8; 8; 41; 41; 41; 1298; 1298; 1298
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_657.0.mata;0.55; 128; 128; 128; 49; 49; 49; 25600; 25600; 25600;2.22; 8; 8; 8; 49; 49; 49; 1600; 1600; 1600
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.64; 8; 8; 8; 58; 58; 58; 1922; 1922; 1922
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.79; 8; 8; 8; 58; 58; 58; 1922; 1922; 1922
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_673.0.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;5.58; 8; 8; 8; 58; 58; 58; 1922; 1922; 1922
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_678.0.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;8.28; 8; 8; 8; 58; 58; 58; 1922; 1922; 1922
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_798.0.mata;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested6_true-unreach-call.i_7.0.mata;0.49; 16; 16; 16; 21; 21; 21; 676; 676; 676;0.71; 8; 8; 8; 21; 21; 21; 338; 338; 338
