name;explicit-stats-runtime;explicit-stats-min-alph;explicit-stats-avg-alph;explicit-stats-max-alph;explicit-stats-min-states;explicit-stats-avg-states;explicit-stats-max-states;explicit-stats-min-transitions;explicit-stats-avg-transitions;explicit-stats-max-transitions;minterm-stats-runtime;minterm-stats-min-alph;minterm-stats-avg-alph;minterm-stats-max-alph;minterm-stats-min-states;minterm-stats-avg-states;minterm-stats-max-states;minterm-stats-min-transitions;minterm-stats-avg-transitions;minterm-stats-max-transitions
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.52; 32; 32; 32; 151; 151; 151; 9654; 9654; 9654;0.71; 32; 32; 32; 151; 151; 151; 9654; 9654; 9654
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.53; 32; 32; 32; 116; 116; 116; 7402; 7402; 7402;0.69; 32; 32; 32; 116; 116; 116; 7402; 7402; 7402
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.34; 64; 64; 64; 22; 22; 22; 3112; 3112; 3112;0.5; 64; 64; 64; 22; 22; 22; 3112; 3112; 3112
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;1.25; 512; 512; 512; 146; 146; 146; 582528; 582528; 582528;1.77; 512; 512; 512; 146; 146; 146; 582528; 582528; 582528
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.59; 256; 256; 256; 51; 51; 51; 53696; 53696; 53696;0.71; 256; 256; 256; 51; 51; 51; 53696; 53696; 53696
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.52; 64; 64; 64; 41; 41; 41; 10608; 10608; 10608;0.77; 64; 64; 64; 41; 41; 41; 10608; 10608; 10608
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.52; 128; 128; 128; 49; 49; 49; 25600; 25600; 25600;0.69; 128; 128; 128; 49; 49; 49; 25600; 25600; 25600
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.41; 32; 32; 32; 13; 13; 13; 804; 804; 804;0.63; 32; 32; 32; 13; 13; 13; 804; 804; 804
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.44; 64; 64; 64; 41; 41; 41; 10608; 10608; 10608;0.67; 64; 64; 64; 41; 41; 41; 10608; 10608; 10608
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.54; 128; 128; 128; 51; 51; 51; 26848; 26848; 26848;0.76; 128; 128; 128; 51; 51; 51; 26848; 26848; 26848
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_597.0.mata;0.56; 128; 128; 128; 41; 41; 41; 20768; 20768; 20768;0.61; 128; 128; 128; 41; 41; 41; 20768; 20768; 20768
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_657.0.mata;0.54; 128; 128; 128; 49; 49; 49; 25600; 25600; 25600;0.73; 128; 128; 128; 49; 49; 49; 25600; 25600; 25600
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;0.54; 128; 128; 128; 58; 58; 58; 30752; 30752; 30752;0.74; 128; 128; 128; 58; 58; 58; 30752; 30752; 30752
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;0.46; 128; 128; 128; 58; 58; 58; 30752; 30752; 30752;0.79; 128; 128; 128; 58; 58; 58; 30752; 30752; 30752
