name;explicit-stats-runtime;explicit-stats-min-alph;explicit-stats-avg-alph;explicit-stats-max-alph;explicit-stats-min-states;explicit-stats-avg-states;explicit-stats-max-states;explicit-stats-min-transitions;explicit-stats-avg-transitions;explicit-stats-max-transitions;minterm-stats-runtime;minterm-stats-min-alph;minterm-stats-avg-alph;minterm-stats-max-alph;minterm-stats-min-states;minterm-stats-avg-states;minterm-stats-max-states;minterm-stats-min-transitions;minterm-stats-avg-transitions;minterm-stats-max-transitions
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06042.mata;0.54; 39; 39; 39; 142; 142; 142; 9754; 9754; 9754;0.58; 39; 39; 39; 142; 142; 142; 9754; 9754; 9754
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06076.mata;0.51; 66; 66; 66; 197; 197; 197; 773; 773; 773;0.7; 66; 66; 66; 197; 197; 197; 773; 773; 773
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06210.mata;0.35; 40; 40; 40; 105; 105; 105; 1599; 1599; 1599;0.69; 40; 40; 40; 105; 105; 105; 1599; 1599; 1599
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06234.mata;0.42; 32; 32; 32; 205; 205; 205; 2724; 2724; 2724;0.61; 32; 32; 32; 205; 205; 205; 2724; 2724; 2724
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06244.mata;0.54; 19; 19; 19; 164; 164; 164; 2533; 2533; 2533;0.77; 19; 19; 19; 164; 164; 164; 2533; 2533; 2533
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06264.mata;0.52; 68; 68; 68; 364; 364; 364; 16032; 16032; 16032;0.63; 68; 68; 68; 364; 364; 364; 16032; 16032; 16032
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06295.mata;0.49; 11; 11; 11; 266; 266; 266; 2551; 2551; 2551;0.6; 11; 11; 11; 266; 266; 266; 2551; 2551; 2551
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06296.mata;0.52; 60; 60; 60; 178; 178; 178; 9634; 9634; 9634;0.78; 60; 60; 60; 178; 178; 178; 9634; 9634; 9634
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06368.mata;0.5; 32; 32; 32; 115; 115; 115; 128; 128; 128;0.7; 32; 32; 32; 115; 115; 115; 128; 128; 128
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06421.mata;0.35; 23; 23; 23; 510; 510; 510; 3912; 3912; 3912;0.76; 23; 23; 23; 510; 510; 510; 3912; 3912; 3912
