name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-uni;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-intersection;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-uni;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-compl;vata-trim;vata-intersection;vata-emptiness_check;vata-emptiness_check_result;vata-overall;vata-uni;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-compl;awali-trim;awali-intersection;awali-emptiness_check;awali-emptiness_check_result;awali-overall;awali-uni;mona-runtime;mona-mataparsing;mona-mataminterm;mona-compl;mona-intersection;mona-emptiness_check;mona-emptiness_check_result;mona-overall;mona-uni;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-intersection;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pymata-union;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-intersection;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyfado-union;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-intersection;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;pyautomata-lib-union;java-automatalib-old-runtime;java-automatalib-old-construction;java-automatalib-old-compl;java-automatalib-old-intersection;java-automatalib-old-emptiness_check;java-automatalib-old-emptiness_result;java-automatalib-old-interpretation;java-automatalib-old-overall;java-automatalib-old-uni;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;java-brics-uni
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-*.mata;0.13;0.1263182;0.006384300000000001; 0.0258037000; 0.0075132000; 0.0001303000; False; 0.0414984000; 0.2017573000;MISSING;0.0; 0.00106; 0.006854; 3e-05;2.1000000000000002e-05; 7e-06; 2e-06; false; 0.008538;MISSING;0.0; 0.000805; 0.004211;0.00012200000000000001; 5.9e-05;2.2e-05; 2.6e-05; 9e-06; false; 0.005933;MISSING;0.0; 0.000549; 0.004061;1.7e-05; 0.000563;0.000498; 0.000517; 3.8e-05; false; 0.007494;MISSING;0.53; 0.001501; 0.006201; 1e-05; 2.4e-05; 9e-06; false; 0.009725;MISSING;0.99; 0.0080; 0.0000; 0.0001;0.0; 0.0001; 0.0000; False; 0.0003; 0.0085;MISSING;1.05; 0.0089; 0.0002;0.00030000000000000003; 0.0003;0.0; 0.0002; 0.0000; False; 0.0006; 0.0099;MISSING;1.15; 0.0070; 0.0003;0.00030000000000000003; 0.0003; 0.0002; 0.0000; False; 0.0006; 0.0080;MISSING;1.08;0.07656518799999999; 0.016241586; 0.020556771; 0.002180615; false; 0.045831796; 0.195243102;MISSING;0.84;0.009612102; 0.002921827; 9.58103E-4; 2.1195E-5; false; 0.011710495; 0.111145768;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-*.mata;0.14;0.0511985;0.0096742; 0.0063842000; 0.0143867000; 0.0001668000; True; 0.0341073000; 0.1302079000;MISSING;0.0; 0.001131; 0.006261; 1.8e-05;9e-06; 2e-06; 2e-06; true; 0.008741;MISSING;0.0; 0.000888; 0.005595;0.000144; 4.4e-05;7e-06; 7e-06; 1e-06; true; 0.007846;MISSING;0.01; 0.000967; 0.005723;2.4999999999999998e-05; 0.000844;0.0006580000000000001; 0.000691; 3.5e-05; true; 0.011167;MISSING;0.48; 0.001541; 0.006535; 1.1e-05; 1.9e-05; 4e-06; true; 0.010129;MISSING;1.24; 0.0082; 0.0000; 0.0001;0.0; 0.0000; 0.0000; True; 0.0002; 0.0086;MISSING;1.18; 0.0098; 0.0002;0.0002; 0.0002;0.0; 0.0001; 0.0000; True; 0.0004; 0.0106;MISSING;1.1; 0.0082; 0.0003;0.00030000000000000003; 0.0002; 0.0002; 0.0000; True; 0.0005; 0.0092;MISSING;1.19;0.087895877; 0.014794179; 0.016027018; 0.002004306; true; 0.039525598; 0.208649476;MISSING;0.75;0.006203861000000001; 0.001879211; 6.30536E-4; 1.145E-5; true; 0.008233742; 0.067548364;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-*.mata;0.17;0.0485335;0.008814599999999999; 0.0405334000; 0.0134687000; 0.0001850000; False; 0.0662318000; 0.1612682000;MISSING;0.0; 0.000638; 0.005619; 2.2e-05;9e-06; 9e-06; 3e-06; false; 0.007246;MISSING;0.0; 0.000643; 0.005672;0.000107; 5.1e-05;1.8e-05; 1.6e-05; 6e-06; false; 0.007596;MISSING;0.0; 0.00052; 0.005555;2.4e-05; 0.000669;0.000558; 0.000628; 4.3e-05; false; 0.009839;MISSING;0.51; 0.001438; 0.007264; 1e-05; 2.9e-05; 1.2e-05; false; 0.010722;MISSING;1.2; 0.0077; 0.0000; 0.0001;0.0; 0.0000; 0.0000; False; 0.0002; 0.0081;MISSING;0.97; 0.0053; 0.0001;0.0001; 0.0001;0.0; 0.0001; 0.0000; False; 0.0003; 0.0058;MISSING;1.16; 0.0075; 0.0003;0.0005; 0.0004; 0.0003; 0.0001; False; 0.0008; 0.0089;MISSING;1.1;0.074155847; 0.053935026; 0.022613001; 0.002151855; false; 0.086613317; 0.239452806;MISSING;0.94;0.014596557999999999; 0.002577342; 8.64692E-4; 1.7019E-5; false; 0.012960122; 0.102179211;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-*.mata;0.12;0.0584711;0.0087679;MISSING; 0.0132133000; 0.0001898000; False; 0.0247289000; 0.1467900000;MISSING;0.0; 0.000409; 0.005531;MISSING; 5e-06; 1e-05; 1e-06; false; 0.006891;MISSING;0.0; 0.000227; 0.004023;6.7e-05;MISSING; 7e-06; 9e-06; 3e-06; false; 0.004937;MISSING;0.0; 0.000241; 0.003905;1.4000000000000001e-05;MISSING; 0.000342; 0.000344; 2.3e-05; false; 0.006035;MISSING;0.32; 0.000531; 0.004202;MISSING; 1.4e-05; 7e-06; false; 0.005839;MISSING;0.94; 0.0051; 0.0000;MISSING; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0053;MISSING;1.2; 0.0153; 0.0001;MISSING;MISSING; 0.0001; 0.0001; 0.0000; False; 0.0002; 0.0158;MISSING;1.24; 0.0079; 0.0003; 0.0002;MISSING; 0.0001; 0.0003; False; 0.0004; 0.0087;MISSING;1.09;0.046074119;MISSING; 0.030236359; 0.011058522; false; 0.053424502; 0.175722925;MISSING;0.8;0.004958479;MISSING; 0.001877774; 1.7079E-5; false; 0.008424839; 0.117853354;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-*.mata;0.13;0.046863999999999996;0.0092377;MISSING; 0.0134422000; 0.0001705000; False; 0.0257970000; 0.1155603000;MISSING;0.0; 0.001214; 0.005804;MISSING; 7e-06; 1.3e-05; 2e-06; false; 0.008049;MISSING;0.0; 0.001154; 0.00563;0.000154;MISSING; 1.8e-05; 2.2e-05; 1.2e-05; false; 0.007931;MISSING;0.0; 0.001147; 0.005672;2.6000000000000002e-05;MISSING; 0.000552; 0.000564; 4.7e-05; false; 0.009852;MISSING;0.51; 0.000957; 0.004293;MISSING; 2.5e-05; 1.6e-05; false; 0.006607;MISSING;1.13; 0.0056; 0.0000;MISSING; 0.0000; 0.0001; 0.0000; False; 0.0001; 0.0058;MISSING;1.22; 0.0079; 0.0002;MISSING;MISSING; 0.0001; 0.0002; 0.0000; False; 0.0004; 0.0086;MISSING;1.16; 0.0101; 0.0004; 0.0005;MISSING; 0.0002; 0.0005; False; 0.0008; 0.0115;MISSING;1.02;0.045220778;MISSING; 0.0227848; 0.008691463; false; 0.03948412; 0.156151987;MISSING;0.95;0.012944612000000001;MISSING; 0.001976326; 2.1746E-5; false; 0.008954261; 0.128738645;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-*.mata;0.09;0.0302204;0.009423299999999999;MISSING;0.0139146; 0.0001805000; False; 0.0274903000; 0.0849147000;MISSING;0.0; 0.000458; 0.006068;MISSING;4.9999999999999996e-06;1.2e-05; 2e-06; false; 0.007607;MISSING;0.0; 0.000485; 0.006203;7.099999999999999e-05;MISSING;4.9999999999999996e-06;9e-06; 2e-06; false; 0.007485;MISSING;0.0; 0.000372; 0.005636;2.3e-05;MISSING;0.000502;0.000552; 2.3e-05; false; 0.008934;MISSING;0.52; 0.001088; 0.006372;MISSING;3.4e-05; 5e-06; true; 0.009238;MISSING;1.12; 0.0048; 0.0000;MISSING; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0050;MISSING;1.2; 0.0078; 0.0001;MISSING;MISSING; 0.0000; 0.0001; 0.0000; False; 0.0002; 0.0082;MISSING;1.16; 0.0154; 0.0003; 0.0002;MISSING; 0.0001; 0.0002; False; 0.0004; 0.0163;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-*.mata;0.12;0.0292427;0.005644499999999999; 0.0251336000;0.00732; 0.0001236000; False; 0.0426209000; 0.1168106000;MISSING;0.0; 0.00038; 0.00411; 1.4e-05;1.1e-05;1.1000000000000001e-05; 1e-06; false; 0.005231;MISSING;0.0; 0.000372; 0.004039;9.3e-05; 3.4e-05;1.1999999999999999e-05;1.1e-05; 2e-06; false; 0.005282;MISSING;0.0; 0.000376; 0.003974;1.7999999999999997e-05; 0.00047;0.000375;0.000419; 2.4e-05; false; 0.006929;MISSING;0.47; 0.000752; 0.005402; 7e-06;3.3e-05; 4e-06; true; 0.007526;MISSING;1.05; 0.0078; 0.0000; 0.0001;0.0; 0.0000; 0.0000; False; 0.0002; 0.0082;MISSING;1.17; 0.0081; 0.0001;0.0001; 0.0002;0.0; 0.0002; 0.0000; False; 0.0005; 0.0089;MISSING;1.05; 0.0071; 0.0004;0.0006000000000000001; 0.0004; 0.0004; 0.0000; False; 0.0009; 0.0086;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-*.mata;0.12;0.048188;0.0084139;MISSING;0.0131962; 0.0001694000; True; 0.0265030000; 0.1175424000;MISSING;0.0; 0.001253; 0.005641;MISSING;6e-06;1.1000000000000001e-05; 1e-06; true; 0.007835;MISSING;0.0; 0.000732; 0.004033;0.000124;MISSING;1.1e-05;1.5e-05; 2e-06; true; 0.005672;MISSING;0.0; 0.000771; 0.004164;2.2e-05;MISSING;0.000426;0.00048300000000000003; 2.6e-05; true; 0.007378;MISSING;0.37; 0.001398; 0.006927;MISSING;3.7e-05; 5e-06; true; 0.010679;MISSING;1.23; 0.0086; 0.0000;MISSING; 0.0000; 0.0001; 0.0000; True; 0.0002; 0.0089;MISSING;1.03; 0.0062; 0.0001;MISSING;MISSING; 0.0000; 0.0002; 0.0000; True; 0.0003; 0.0069;MISSING;1.17; 0.0089; 0.0005; 0.0003;MISSING; 0.0002; 0.0003; True; 0.0005; 0.0101;MISSING;0.87;0.0633141;MISSING;0.027855175; 0.002260107; true; 0.037501178; 0.168937806;MISSING;0.8;0.010998398999999999;MISSING;0.00213259; 2.357E-5; true; 0.00944371; 0.106321445;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-*.mata;0.24;0.0496073;0.009575100000000003;0.1065575;0.015750100000000003; 0.0002300000; False; 0.1426574000; 0.2362875000;0.0058031;0.0; 0; 0.005571;0.001065;0.000216;0.000249; 1.5e-05; false; 0.008984;3.9e-05;0.01; 0.001538; 0.005745;0.000506;0.003406;0.002208;0.000858; 0.000442; false; 0.016447;0.000453;0.01; 0.001826; 0.006212;0.000105;0.002491;0.002362;0.001383; 0.000408; false; 0.017555;0.000304;0.52; 0.001123; 0.004253;6.999999999999999e-06;2.3000000000000003e-05; 3e-06; true; 0.006763;4e-06;1.24; 0.0105; 0.0000;0.0015999999999999999;0.0;0.001; 0.0000; False; 0.0032; 0.0144;0.00030000000000000003;1.35; 0.0102; 0.0006;0.022500000000000003;0.0027999999999999995;0.0036;0.0571; 0.0006; False; 0.1465; 0.1576;0.0822;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.0;0.09403281699999999;0.01935479;0.024998636; 0.002225401; false; 0.057594058; 0.235499859;0.001600887;1.25;0.045256961000000005;0.025558523;0.011863348000000001; 3.117E-5; false; 0.055104871; 0.227057779;0.0012328399999999998
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-*.mata;0.15;0.030053;0.0059881;0.06072439999999999;0.008599500000000001; 0.0001886000; False; 0.0835995000; 0.1708199000;0.0030506;0.0; 0.001679; 0.006194;0.0013080000000000001;0.000284;0.000265; 1e-05; false; 0.011696;3.9e-05;0.01; 0.001656; 0.006142;0.000577;0.003509;0.001651;0.0006630000000000001; 0.000128; false; 0.016404;0.000423;0.0; 0.000893; 0.004347;5.4e-05;0.0015610000000000003;0.001385;0.000832; 0.000131; false; 0.01104;0.000188;0.44; 0.001146; 0.005534;9.999999999999999e-06;2.6e-05; 4e-06; true; 0.008121;6e-06;1.19; 0.0091; 0.0000;0.0016;0.0;0.0006000000000000001; 0.0000; False; 0.0027; 0.0124;0.0002;1.07; 0.0063; 0.0003;0.0124;0.0016;0.0016000000000000003;0.0237; 0.0002; False; 0.0567; 0.0636;0.0295;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.08;0.11582704200000002;0.032602953999999996;0.050917173; 0.00214815; false; 0.096866695; 0.322399602;0.002107809;1.05;0.019993254000000002;0.025163732;0.010627898; 2.9514E-5; false; 0.049846136; 0.189741517;0.001169354
