name;automata-old-runtime;automata-old-construction;automata-old-trim;automata-old-compl;automata-old-intersection;automata-old-emptiness_check;automata-old-emptiness_result;automata-old-interpretation;automata-old-overall;automata-old-uni;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-intersection;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;automata-min-uni;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-compl;java-automatalib-intersection;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-automatalib-uni
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-*.mata;0.17;0.1166557;0.0145766; 0.0409422000; 0.0129118000; 0.0001776000; False; 0.0742185000; 0.2376752000;MISSING;0.75;0.0260482;0.009742; 0.0471700000; 0.0114069000; 0.0002396000; False; 0.0732945000; 0.1393477000;MISSING;0.92;0.015883479;0.041777695000000004; 0.014605106; 0.013451172; 0.00181511; false; 0.085507822; 0.170339909;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-*.mata;0.11;0.0445721;0.039735; 0.0197840000; 0.0152245000; 0.0001759000; True; 0.0812421000; 0.1646083000;MISSING;0.72;0.0375538;0.0085933; 0.0061281000; 0.0150530000; 0.0001807000; True; 0.0324011000; 0.1234581000;MISSING;1.09;0.012007662;0.040297027; 0.032083756; 0.049504087; 0.004437711; true; 0.136759035; 0.201565176;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-*.mata;0.17;0.0464585;0.0089961; 0.0420026000; 0.0128819000; 0.0001859000; False; 0.0667103000; 0.1568751000;MISSING;0.9;0.0348562;0.0088978; 0.0750491000; 0.0072928000; 0.0001922000; False; 0.0936652000; 0.1808369000;MISSING;1.11;0.029209931;0.072545886; 0.022446404; 0.027728214; 0.002669818; false; 0.142902267; 0.322976269;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-*.mata;0.11;0.0460131;0.0065883;MISSING; 0.0140380000; 0.0001746000; False; 0.0229666000; 0.1051344000;MISSING;0.83;0.0367731;0.0072686;MISSING; 0.0086301000; 0.0001318000; False; 0.0180265000; 0.1060724000;MISSING;1.07;0.017562954;0.056379721;MISSING; 0.024419504; 0.002672164; false; 0.092605865; 0.187209749;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-*.mata;0.13;0.047802700000000004;0.0146105;MISSING; 0.0322673000; 0.0001659000; False; 0.0495072000; 0.1401448000;MISSING;0.84;0.0366151;0.008920500000000001;MISSING; 0.0130576000; 0.0001915000; False; 0.0244657000; 0.1147604000;MISSING;1.03;0.018298311;0.049459828000000004;MISSING; 0.022523232; 0.002288219; false; 0.081618733; 0.222234901;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-*.mata;0.1;0.0812219;0.0058582999999999994;MISSING;0.0077616; 0.0001334000; False; 0.0176825000; 0.1332471000;MISSING;0.8;0.0636193;0.0084419;MISSING;0.012285; 0.0001756000; False; 0.0231472000; 0.1390739000;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-*.mata;0.15;0.048521999999999996;0.009586900000000002; 0.0432201000;0.0094723; 0.0001450000; False; 0.0650664000; 0.1463243000;MISSING;0.85;0.0321297;0.008823099999999999; 0.0404285000;0.0117971; 0.0001952000; False; 0.0638328000; 0.1436354000;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-*.mata;0.14;0.09065859999999999;0.010770100000000001;MISSING;0.0165862; 0.0001610000; True; 0.0329568000; 0.1753183000;MISSING;0.74;0.0358136;0.008424400000000002;MISSING;0.01314; 0.0001676000; True; 0.0240567000; 0.1136601000;MISSING;1.08;0.029948927;0.065235539;MISSING;0.029222992; 0.002612386; true; 0.104212967; 0.282325225;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-*.mata;0.23;0.049114599999999994;0.009355800000000001;0.1034387;0.0161416; 0.0002951000; False; 0.1420976000; 0.2350456000;0.0050908;1.0;0.0373038;0.0090008;0.11380399999999999;0.015778900000000002; 0.0002447000; False; 0.1472505000; 0.2369009000;0.0054283000000000005;1.16;0.06878862000000001;0.112385079;0.020716103;0.028205788; 0.002291701; false; 0.176520062; 0.359184331;0.002413913
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-*.mata;0.2;0.046049400000000004;0.006074199999999998;0.14128060000000003;0.011121299999999999; 0.0001977000; False; 0.1667404000; 0.2513916000;0.0034389;0.88;0.07054049999999999;0.005927000000000001;0.0849347;0.0155923; 0.0001879000; False; 0.1123209000; 0.2346148000;0.0036366;1.18;0.056011818000000005;0.056514535000000005;0.019802671000000004;0.024961298000000003; 0.002070304; false; 0.114925768; 0.280599171;0.001989435
