name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-intersection;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-uni;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-compl;vata-trim;vata-intersection;vata-emptiness_check;vata-emptiness_check_result;vata-overall;vata-uni;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-compl;awali-trim;awali-intersection;awali-emptiness_check;awali-emptiness_check_result;awali-overall;awali-uni;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-intersection;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyfado-union;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-intersection;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;pyautomata-lib-union;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;java-brics-uni;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-sim-compl;mata-sim-uni;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-intersection;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;automata-min-uni;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-compl;java-automatalib-intersection;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-automatalib-uni
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ChunkSplit-norn-benchmark-5-*.mata;0.0;0.00106;0.006854; 3e-05;2.1000000000000002e-05; 7e-06;2e-06; false;0.008538;MISSING;0.0;0.000805;0.004211;0.000122; 5.9e-05;2.2e-05; 2.6e-05;9e-06; false;0.005933;MISSING;0.0;0.000549;0.004061;1.7e-05; 0.000563;0.000498; 0.000517;3.8e-05; false;0.007494;MISSING;1.05; 0.0089; 0.0002;0.00030000000000000003; 0.0003;0.0; 0.0002; 0.0000; False; 0.0006; 0.0099;MISSING;1.15; 0.0070; 0.0003;0.00030000000000000003; 0.0003; 0.0002; 0.0000; False; 0.0006; 0.0080;MISSING;0.84;0.009612102; 0.002921827; 9.58103E-4; 2.1195E-5; false; 0.011710495; 0.111145768;MISSING;0.0;0.00224;0.010553;6.1000000000000005e-05; 4e-06;4.9999999999999996e-06;1e-06; false;0.013518; 9e-06;MISSING;0.75;0.0260482;0.009742; 0.0471700000; 0.0114069000;0.0002396; False;0.0732945;0.1393477;MISSING;0.92;0.015883479;0.041777695000000004; 0.014605106; 0.013451172; 0.00181511; false; 0.085507822; 0.170339909;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-127-*.mata;0.0;0.001131;0.006261; 1.8e-05;9e-06; 2e-06;2e-06; true;0.008741;MISSING;0.0;0.000888;0.005595;0.000144; 4.4e-05;7e-06; 7e-06;1e-06; true;0.007846;MISSING;0.01;0.000967;0.005723;2.5e-05; 0.000844;0.0006580000000000001; 0.000691;3.5e-05; true;0.011167;MISSING;1.18; 0.0098; 0.0002;0.0002; 0.0002;0.0; 0.0001; 0.0000; True; 0.0004; 0.0106;MISSING;1.1; 0.0082; 0.0003;0.00030000000000000003; 0.0002; 0.0002; 0.0000; True; 0.0005; 0.0092;MISSING;0.75;0.006203861000000001; 0.001879211; 6.30536E-4; 1.145E-5; true; 0.008233742; 0.067548364;MISSING;0.0;0.000597;0.004094;4.7000000000000004e-05; 0;4e-06;1e-06; true;0.00535; 8e-06;MISSING;0.72;0.0375538;0.0085933; 0.0061281000; 0.0150530000;0.0001807; True;0.0324011;0.1234581;MISSING;1.09;0.012007662;0.040297027; 0.032083756; 0.049504087; 0.004437711; true; 0.136759035; 0.201565176;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-StringReplace-norn-benchmark-39-*.mata;0.0;0.000638;0.005619; 2.2e-05;9e-06; 9e-06;3e-06; false;0.007246;MISSING;0.0;0.000643;0.005672;0.000107; 5.1e-05;1.8e-05; 1.6e-05;6e-06; false;0.007596;MISSING;0.0;0.00052;0.005555;2.4e-05; 0.000669;0.000558; 0.000628;4.3e-05; false;0.009839;MISSING;0.97; 0.0053; 0.0001;0.0001; 0.0001;0.0; 0.0001; 0.0000; False; 0.0003; 0.0058;MISSING;1.16; 0.0075; 0.0003;0.0005; 0.0004; 0.0003; 0.0001; False; 0.0008; 0.0089;MISSING;0.94;0.014596557999999999; 0.002577342; 8.64692E-4; 1.7019E-5; false; 0.012960122; 0.102179211;MISSING;0.0;0.001322;0.007107;0.00017700000000000002; 5e-06;4.9999999999999996e-06;1e-06; false;0.009947; 1.6e-05;MISSING;0.9;0.0348562;0.0088978; 0.0750491000; 0.0072928000;0.0001922; False;0.0936652;0.1808369;MISSING;1.11;0.029209931;0.072545886; 0.022446404; 0.027728214; 0.002669818; false; 0.142902267; 0.322976269;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-14-*.mata;0.0;0.000409;0.005531;MISSING; 5e-06; 1e-05;1e-06; false;0.006891;MISSING;0.0;0.000227;0.004023;6.7e-05;MISSING; 7e-06; 9e-06;3e-06; false;0.004937;MISSING;0.0;0.000241;0.003905;1.4e-05;MISSING; 0.000342; 0.000344;2.3e-05; false;0.006035;MISSING;1.2; 0.0153; 0.0001;MISSING;MISSING; 0.0001; 0.0001; 0.0000; False; 0.0002; 0.0158;MISSING;1.24; 0.0079; 0.0003; 0.0002;MISSING; 0.0001; 0.0003; False; 0.0004; 0.0087;MISSING;0.8;0.004958479;MISSING; 0.001877774; 1.7079E-5; false; 0.008424839; 0.117853354;MISSING;0.0;0.000598;0.006759; 6.6e-05; 1.1e-05; 4e-06;9e-06; false;0.008077;MISSING;MISSING;0.83;0.0367731;0.0072686;MISSING; 0.0086301000;0.0001318; False;0.0180265;0.1060724;MISSING;1.07;0.017562954;0.056379721;MISSING; 0.024419504; 0.002672164; false; 0.092605865; 0.187209749;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-19-*.mata;0.0;0.001214;0.005804;MISSING; 7e-06; 1.3e-05;2e-06; false;0.008049;MISSING;0.0;0.001154;0.00563;0.000154;MISSING; 1.8e-05; 2.2e-05;1.2e-05; false;0.007931;MISSING;0.0;0.001147;0.005672;2.6e-05;MISSING; 0.000552; 0.000564;4.7e-05; false;0.009852;MISSING;1.22; 0.0079; 0.0002;MISSING;MISSING; 0.0001; 0.0002; 0.0000; False; 0.0004; 0.0086;MISSING;1.16; 0.0101; 0.0004; 0.0005;MISSING; 0.0002; 0.0005; False; 0.0008; 0.0115;MISSING;0.95;0.012944612000000001;MISSING; 0.001976326; 2.1746E-5; false; 0.008954261; 0.128738645;MISSING;0.0;0.000734;0.003896; 5.1e-05; 4e-06; 3e-06;1e-06; false;0.005283;MISSING;MISSING;0.84;0.0366151;0.0089205;MISSING; 0.0130576000;0.0001915; False;0.0244657;0.1147604;MISSING;1.03;0.018298311;0.049459828000000004;MISSING; 0.022523232; 0.002288219; false; 0.081618733; 0.222234901;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-42-*.mata;0.0;0.000458;0.006068;MISSING;4.9999999999999996e-06;1.2e-05;2e-06; false;0.007607;MISSING;0.0;0.000485;0.006203;7.099999999999999e-05;MISSING;4.9999999999999996e-06;9e-06;2e-06; false;0.007485;MISSING;0.0;0.000372;0.005636;2.3e-05;MISSING;0.000502;0.000552;2.3e-05; false;0.008934;MISSING;1.2; 0.0078; 0.0001;MISSING;MISSING; 0.0000; 0.0001; 0.0000; False; 0.0002; 0.0082;MISSING;1.16; 0.0154; 0.0003; 0.0002;MISSING; 0.0001; 0.0002; False; 0.0004; 0.0163;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.0;0.000385;0.004137;4.7e-05;1.4999999999999999e-05;3e-06;1e-06; false;0.005187;MISSING;MISSING;0.8;0.0636193;0.0084419;MISSING;0.012285;0.0001756; False;0.0231472;0.1390739;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-48-*.mata;0.0;0.00038;0.00411; 1.4e-05;1.1e-05;1.1000000000000001e-05;1e-06; false;0.005231;MISSING;0.0;0.000372;0.004039;9.3e-05; 3.4e-05;1.1999999999999999e-05;1.1e-05;2e-06; false;0.005282;MISSING;0.0;0.000376;0.003974;1.7999999999999997e-05; 0.00047;0.000375;0.000419;2.4e-05; false;0.006929;MISSING;1.17; 0.0081; 0.0001;0.0001; 0.0002;0.0; 0.0002; 0.0000; False; 0.0005; 0.0089;MISSING;1.05; 0.0071; 0.0004;0.0006000000000000001; 0.0004; 0.0004; 0.0000; False; 0.0009; 0.0086;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.0;0.000779;0.004785;0.000128;9.999999999999999e-06;8.999999999999999e-06;1e-06; false;0.006523; 1.3e-05;MISSING;0.85;0.0321297;0.0088230999999999; 0.0404285000;0.0117971;0.0001952; False;0.0638328;0.1436354;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_SLIA_Norn-ab-norn-benchmark-49-*.mata;0.0;0.001253;0.005641;MISSING;6e-06;1.1000000000000001e-05;1e-06; true;0.007835;MISSING;0.0;0.000732;0.004033;0.000124;MISSING;1.1e-05;1.5e-05;2e-06; true;0.005672;MISSING;0.0;0.000771;0.004164;2.2e-05;MISSING;0.000426;0.00048300000000000003;2.6e-05; true;0.007378;MISSING;1.03; 0.0062; 0.0001;MISSING;MISSING; 0.0000; 0.0002; 0.0000; True; 0.0003; 0.0069;MISSING;1.17; 0.0089; 0.0005; 0.0003;MISSING; 0.0002; 0.0003; True; 0.0005; 0.0101;MISSING;0.8;0.010998398999999999;MISSING;0.00213259; 2.357E-5; true; 0.00944371; 0.106321445;MISSING;0.0;0.000874;0.004101;6.6e-05;4e-06;4e-06;1e-06; true;0.005714;MISSING;MISSING;0.74;0.0358136;0.0084244;MISSING;0.01314;0.0001676; True;0.0240567;0.1136601;MISSING;1.08;0.029948927;0.065235539;MISSING;0.029222992; 0.002612386; true; 0.104212967; 0.282325225;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10041-*.mata;0.0;0.0;0.005571;0.001065;0.000216;0.000249;1.5e-05; false;0.008984;3.9e-05;0.01;0.001538;0.005745;0.000506;0.003406;0.002208;0.000858;0.000442; false;0.016447;0.000453;0.01;0.001826;0.006212;0.000105;0.002491;0.002362;0.001383;0.000408; false;0.017555;0.000304;1.35; 0.0102; 0.0006;0.022500000000000003;0.0027999999999999995;0.0036;0.0571; 0.0006; False; 0.1465; 0.1576;0.0822;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.25;0.045256961000000005;0.025558523;0.011863348000000001; 3.117E-5; false; 0.055104871; 0.227057779;0.0012328399999999998;0.0;0.001125;0.004277;0.001618;0.000119;0.00013199999999999996;1.1e-05; false;0.008702;0.000314;3e-05;1.0;0.0373038;0.0090008;0.11380399999999999;0.015778900000000002;0.0002447; False;0.1472505;0.2369009;0.0054283000000000005;1.16;0.06878862000000001;0.112385079;0.020716103;0.028205788; 0.002291701; false; 0.176520062; 0.359184331;0.002413913
/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-program.emp,/home/experiments/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-no-ree-query10112-*.mata;0.0;0.001679;0.006194;0.0013080000000000001;0.000284;0.000265;1e-05; false;0.011696;3.9e-05;0.01;0.001656;0.006142;0.000577;0.003509;0.001651;0.0006630000000000001;0.000128; false;0.016404;0.000423;0.0;0.000893;0.004347;5.4e-05;0.0015610000000000003;0.001385;0.000832;0.000131; false;0.01104;0.000188;1.07; 0.0063; 0.0003;0.0124;0.0016;0.0016000000000000003;0.0237; 0.0002; False; 0.0567; 0.0636;0.0295;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.05;0.019993254000000002;0.025163732;0.010627898; 2.9514E-5; false; 0.049846136; 0.189741517;0.001169354;0.0;0.004437;0.007958;0.004095;0.00024000000000000003;0.00020999999999999998;4e-06; false;0.019428;0.000713;4.2000000000000004e-05;0.88;0.0705404999999999;0.005927;0.0849347;0.0155923;0.0001879; False;0.1123209;0.2346148;0.0036366;1.18;0.056011818000000005;0.056514535000000005;0.019802671000000004;0.024961298000000003; 0.002070304; false; 0.114925768; 0.280599171;0.001989435
