name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-brics-runtime;java-brics-construction;java-brics-interall;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-interall;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.05; 0.019518; 0.010433;0.019201000000000003;0.00606; 2e-06; true; 0.058031;0.26;0.033652;0.010541;0.0035979999999999;0.116098;0.108199; 5e-06; true; 0.275622;0.15; 0.032649; 0.009274;0.00031;0.036324;0.068436; 0.000915; true; 0.151058;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.47; 0.0630; 0.0053; 0.8362; 0.4964; 0.5093; True; 1.3456; 1.4302;2.25;0.0677167769999999; 0.480763492; 2.7315E-5; true; 0.487530772; 0.757101932;0.05; 0.016598; 0.008395;0.023434;0.007838000000000001;0.0032129999999999997; 2e-06; true; 0.061631;0.95;0.027083799999999998;0.031201999999999997;0.2760038; 0.0001984000; True; 0.3100296000; 0.3808696000;2.24;0.089128581;0.215086847; 0.421797914; 0.024451401; true; 0.675037594; 0.939522193
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.14; 0.046055; 0.017636;0.075097;0.023053999999999998; 3e-06; true; 0.167393;0.73;0.027568;0.016355;0.004546;0.329621;0.370418; 4e-06; true; 0.752737;0.38; 0.045782; 0.016214;0.000658;0.09262999999999999;0.21530100000000002; 0.001759; true; 0.377417;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;4.72; 0.0852; 0.0101; 2.4935; 1.0440; 1.0749; True; 3.5684; 3.7048;3.16;0.0417041569999999; 0.802034946; 3.8426E-5; true; 0.808589557; 0.959381119;0.18; 0.041648; 0.017311;0.066537;0.046381;0.01766; 5e-06; true; 0.194617;1.24;0.028998999999999997;0.0276687;0.5247967; 0.0003787000; True; 0.5578696000; 0.6305509000;2.79;0.07965581;0.24700298500000004; 0.52633208; 0.007211085; true; 0.788925415; 1.122788385
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.19; 0.027895; 0.011859;0.128157;0.041366; 2e-06; true; 0.212997;1.44;0.026019;0.011532;0.003295;0.678355;0.764017; 5e-06; true; 1.48634;0.63; 0.027406; 0.011942;0.000735;0.16585299999999997;0.40710799999999997; 0.004156; true; 0.621473;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;8.64; 0.0820; 0.0067; 4.8487; 2.6923; 2.7617; True; 7.6104; 7.8049;5.16;0.04773232; 1.624363612; 3.6442E-5; true; 1.629819763; 1.843240479;0.29; 0.038472; 0.01798;0.108048;0.107006;0.031365; 4e-06; true; 0.308287;2.05;0.04408120000000001;0.0683908;1.1285176; 0.0003157000; True; 1.2011366000; 1.3658022000;3.03;0.0539288639999999;0.15823344; 0.702229435; 0.031083641; true; 0.904047088; 1.130797155
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;0.48; 0.061942; 0.021215;0.35857300000000003;0.089557; 2e-06; true; 0.536791;3.42;0.061313;0.019706;0.006139;1.558642;1.855214; 1e-05; true; 3.5059;1.39; 0.031413; 0.012736;0.00048699999999999997;0.40614;0.87947; 0.008492; true; 1.34269;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;18.91; 0.1097; 0.0133; 12.9377; 5.0425; 5.1093; True; 18.0471; 18.3626;11.01;0.051591298; 4.791653388; 3.1779E-5; true; 4.799847622; 5.006552205;0.28; 0.031717; 0.013716;0.04501000000000001;0.166437;0.055099999999999996; 2e-06; true; 0.315555;3.17;0.056271000000000015;0.11140800000000001;2.3082683; 0.0003003000; True; 2.4240252000; 2.5667911000;3.93;0.0519833139999999;0.18303941899999995; 1.28356795; 0.015305498; true; 1.489824047; 1.712553668
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;1.06; 0.078607; 0.025214;0.86018;0.222622; 2e-06; true; 1.19314;8.87;0.072237;0.024497;0.0067659999999999;4.204961;4.775334; 5e-06; true; 9.09001;4.38; 0.042053; 0.016302;0.000983;1.281029;2.795933; 0.011819; true; 4.15374;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;46.54; 0.1248; 0.0172; 29.3943; 16.3093; 16.6399; True; 46.0344; 46.8853;21.48;0.057974935; 10.936491235; 4.3151E-5; true; 10.94452873; 11.130251926;0.67; 0.045932; 0.0143;0.063195;0.44224800000000003;0.16983199999999998; 3e-06; true; 0.739354;5.92;0.046906100000000006;0.24308549999999998;4.7856254; 0.0003089000; True; 5.0367422000; 5.1410988000;4.99;0.0665465829999999;0.23567496799999998; 2.305012091; 0.030359072; true; 2.614514907; 2.855530014
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;2.11; 0.083746; 0.029175;1.8359829999999997;0.387483; 4e-06; true; 2.34418;15.87;0.069097;0.022099;0.0056319999999999;7.595933;8.452798999999999; 5e-06; true; 16.1508;10.6; 0.077314; 0.028247;0.0011610000000000004;3.601484;6.606947; 0.01335; true; 10.3365;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;56.98;0.051031529; 32.54047353; 5.9726E-5; true; 32.54795936; 32.727465808;1.65; 0.06957; 0.027383;0.1851;1.1078299999999999;0.40756499999999996; 3e-06; true; 1.80524;11.59;0.030856699999999997;0.2992416;10.4192046; 0.0002740000; True; 10.7223473000; 10.7905220000;8.36;0.05428938;0.21927431100000003; 5.138066983; 0.023052495; true; 5.403259092; 5.652695571
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;6.22; 0.100901; 0.032569;4.559989;2.084768; 4e-06; true; 6.7913;36.0;0.105961;0.035221;0.009659;19.210955;17.428089; 5e-06; true; 36.7987;21.22; 0.091959; 0.029855;0.0013200000000000002;7.779589999999999;13.004809999999999; 0.011507; true; 20.9276;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.058913035;MISSING;MISSING;MISSING;MISSING;MISSING;3.58; 0.094043; 0.036436;0.329842;2.154409;1.204464; 5e-06; true; 3.83085;23.79;0.04751619999999999;0.7923322;21.9930558; 0.0003018000; True; 22.7913778000; 22.9115629000;13.78;0.075449221;0.21954761; 10.413652629; 0.038258815; true; 10.681050689; 10.950755083
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;15.08; 0.073854; 0.025906;10.890460000000001;5.353719; 5e-06; true; 16.3603;TO;0.063701;0.024331;0.006421;20.722595;22.158821000000003;MISSING;MISSING;MISSING;48.62; 0.111414; 0.038036;0.0015909999999999997;17.570852;29.634833; 7.9e-05; true; 47.3679;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.064195609;MISSING;MISSING;MISSING;MISSING;MISSING;10.47; 0.107416; 0.032261;1.184149;6.395933;3.436048; 4e-06; true; 11.1706;48.61;0.04554819999999999;1.2333625;46.5295871; 0.0002768000; True; 47.7701546000; 47.8645877000;30.39;0.092139991;0.243171386; 22.202797862; 0.042651899; true; 22.501915643; 22.79577089
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;36.34; 0.132127; 0.041234;26.394894999999998;12.780201; 3e-06; true; 39.3837;TO;0.104584;0.039944;0.0073869999999999;22.783196;24.767218;MISSING;MISSING;MISSING;TO; 0.112416; 0.036876;0.0017159999999999996;20.655977;19.682007;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.081759376;MISSING;MISSING;MISSING;MISSING;MISSING;25.37; 0.073265; 0.031079;3.026703;15.867111999999999;8.036256999999999; 4e-06; true; 27.0542;TO;0.05930300000000001;1.7543425;55.9052006;MISSING;MISSING;MISSING;MISSING;66.63;0.086672589;0.3719978139999999; 47.333392329; 0.365223502; true; 48.080211905; 48.338879531
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;TO; 0.135358; 0.043893;31.695486;10.108412000000001;MISSING;MISSING;MISSING;TO;0.151869;0.05234;0.013302;26.617587;27.477995;MISSING;MISSING;MISSING;TO; 0.123005; 0.039942;0.002073;23.277406;20.668025;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.079181606;MISSING;MISSING;MISSING;MISSING;MISSING;49.53; 0.082141; 0.038857;7.104753;30.852838;14.315648; 3e-06; true; 52.4202;TO;0.0608031;2.088072;35.0915868;MISSING;MISSING;MISSING;MISSING;TO;0.084260607;0.262950932;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata;0.0; 0.001315; 0.006088; 1.7e-05; 1.9e-05; 1e-06; true; 0.008588;0.0;0.001139;0.005662;0.000178;2.8e-05;2.5e-05; 1e-06; true; 0.008173;0.01; 0.001159; 0.00577;3.4e-05; 0.000945; 0.00076; 6.8e-05; true; 0.01159;1.15; 0.0086; 0.0002; 0.0006; 0.0001; 0.0000; True; 0.0007; 0.0097;0.93; 0.0066; 0.0003; 0.0002; 0.0003; 0.0004; True; 0.0006; 0.0077;0.87;0.010340043; 0.002174194; 3.8733E-5; true; 0.009476806; 0.088813204;0.0; 0.001199; 0.005874; 0.000112; 1.3e-05; 7e-06; 1e-06; true; 0.008104;0.94;0.0263767;0.0071825000000000005; 0.0111082000; 0.0003694000; True; 0.0218268000; 0.0927805000;1.17;0.027826937;0.088688068; 0.036500726; 0.003589206; true; 0.137110117; 0.259680957
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-20-*.mata;TO; 0.144547; 0.046817;32.379877;13.134677;MISSING;MISSING;MISSING;TO;0.157792;0.054928;0.015062;27.599005;17.032758;MISSING;MISSING;MISSING;TO; 0.150877; 0.04578;0.002186;20.882669999999997;22.352308;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.126492839;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.181318; 0.055665;7.971343;40.102734;6.932854000000001;MISSING;MISSING;MISSING;TO;0.0624669;2.0213676;36.5781326;MISSING;MISSING;MISSING;MISSING;TO;0.163953861;0.43868766;MISSING;MISSING;MISSING;MISSING;MISSING
