name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-union;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-uni;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-uni;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.03;0.026243;0.013673;0.000275;0.000513;7.8e-05; false;0.044081;0.05;0.025075;0.009629;0.003656;0.005691;0.004977; 0.000912; false; 0.053125;0.04;0.031195;0.008536;0.0003509999999999;0.002388;0.0038239999999999;0.000706; false;0.050004;1.18; 0.0521; 0.0030; 0.1713; 0.0010; 0.0119; False; 0.1842; 0.2397;11.36; 0.0791; 0.0067; 0.0329; 10.5037; 10.6247; False; 10.6577; 10.7440;1.12;0.0354498589999999;0.010357122;4.37e-05; false;0.01790182;0.173881543;0.03;0.024343;0.009796;0.000287;0.000561;7.7e-05; false;0.038942;0.73;0.0441801;0.0107606;0.0102032999999999;0.0002331; False;0.0239932;0.1465074;2.08;0.067213579;0.12535622800000001; 0.253835993; 0.004434348; false; 0.391583935; 0.683155671
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.05;0.044847;0.015549;0.000357;0.000692;9.6e-05; false;0.06583;0.05;0.03176;0.012975;0.002829;0.0069079999999999;0.0067719999999999; 0.001161; false; 0.065095;0.06;0.042183;0.01604;0.0006749999999999;0.004931;0.008027;0.001324; false;0.078129;1.15; 0.0439; 0.0033; 0.1738; 0.0012; 0.0168; False; 0.1918; 0.2395;29.02; 0.0729; 0.0091; 0.0399; 28.7294; 29.0795; False; 29.1195; 29.2021;1.39;0.04036332;0.013720696;4.274e-05; false;0.021207742;0.196597289;0.04;0.031313;0.009501;0.000339;0.0007059999999999;8.3e-05; false;0.045628;0.91;0.0560549;0.0217941;0.0133125;0.0001748; False;0.0374534;0.1880586;2.12;0.034358781;0.13480188; 0.280444305; 0.001826178; false; 0.424149002; 0.562477997
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.06;0.050611;0.014393;0.000266;0.000539;8.1e-05; false;0.070311;0.08;0.039922;0.017173;0.0051059999999999;0.010557;0.0101439999999999; 0.001921; false; 0.089224;0.07;0.048273;0.018024;0.0008359999999999;0.006336;0.010407;0.001598; false;0.09057;1.48; 0.0543; 0.0041; 0.2900; 0.0015; 0.0253; False; 0.3168; 0.3757;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.42;0.055716275;0.020079452;5.2561e-05; false;0.036434153;0.241058915;0.04;0.031831;0.011609;0.000205;0.000535;6.9e-05; false;0.047234;0.82;0.0436756;0.0115529;0.0126337;0.0002514; False;0.0273353;0.1242451;2.81;0.0596426279999999;0.18497676000000002; 0.644293464; 0.005173606; false; 0.845320247; 1.116180534
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;0.04;0.031094;0.016442;0.0004739999999999;0.001162;0.000127; false;0.054213;0.1;0.058022;0.020299;0.006195;0.012641;0.011899; 0.001553; false; 0.115035;0.06;0.035428;0.01239;0.0004799999999999;0.003998;0.007422;0.001147; false;0.064213;1.66; 0.0610; 0.0049; 0.4341; 0.0017; 0.0380; False; 0.4739; 0.5404;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.39;0.059635063;0.020490989;5.9322e-05; false;0.027571836;0.2289093;0.04;0.040314;0.012136;0.000263;0.000698;8.3e-05; false;0.056763;1.0;0.0462712;0.0117632999999999;0.0138529;0.0003466; False;0.0288915;0.1306327;3.43;0.056427;0.21700284; 1.3028094; 0.002421319; false; 1.530474727; 1.753862211
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;0.1;0.075644;0.026017;0.000581;0.001416;0.000158; false;0.11032;0.14;0.074887;0.024942;0.0075809999999999;0.019081;0.019657; 0.002476; false; 0.154436;0.09;0.051639;0.023822;0.0012;0.007877;0.013309;0.001318; false;0.106018;2.51; 0.1252; 0.0116; 1.0768; 0.0035; 0.1004; False; 1.1809; 1.3185;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.58;0.052911043;0.025331139;6.3203e-05; false;0.045136301;0.269183475;0.04;0.040691;0.015158;0.000328;0.000935;0.000102; false;0.061077;0.92;0.0419997;0.0146025999999999;0.0151478;0.0002412; False;0.0331457;0.1136315;4.71;0.091419982;0.25471697200000004; 2.881218975; 0.002175025; false; 3.145307217; 3.553094099
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;0.1;0.078707;0.02597;0.0006959999999999;0.001835;0.000216; false;0.11415;0.16;0.081415;0.026997;0.007076;0.021113;0.020929; 0.001972; false; 0.165054;0.12;0.070891;0.023928;0.0009559999999999;0.010748;0.0182249999999999;0.002546; false;0.133047;3.01; 0.1427; 0.0145; 1.5287; 0.0051; 0.1458; False; 1.6796; 1.8380;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.57;0.073242539;0.03095852;4.0773e-05; false;0.047193748;0.290085882;0.08;0.06362;0.020957;0.000613;0.0016449999999999;0.000146; false;0.093075;0.96;0.0496917;0.0151465;0.0158425;0.0002487; False;0.0345405;0.1434996;7.86;0.0725549809999999;0.28182082300000005; 5.258514294; 0.002887895; false; 5.556777511; 5.797620946
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;0.11;0.08938;0.029114;0.000743;0.002118;0.000188; false;0.128673;0.18;0.091728;0.033342;0.0093789999999999;0.024974;0.024688; 0.00325; false; 0.19368;0.16;0.090471;0.029348;0.0013859999999999;0.012976;0.022935;0.002851; false;0.166798;3.4; 0.1546; 0.0166; 1.9232; 0.0043; 0.1783; False; 2.1058; 2.2779;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.48;0.071349094;0.057824982;5.9362e-05; false;0.065256697;0.344692199;0.07;0.056123;0.023521;0.0007399999999999;0.002164;0.000216; false;0.08992;0.97;0.0523263;0.0131884;0.0183787999999999;0.000191; False;0.0350231;0.1393091;14.56;0.1128601629999999;0.38256400799999996; 11.350844511; 0.002150224; false; 11.74308147; 12.089705777
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;0.13;0.105633;0.03694;0.00088;0.002464;0.000151; false;0.155036;0.25;0.110203;0.037162;0.01111;0.041207;0.047466; 0.005684; false; 0.261456;0.17;0.105678;0.033094;0.001413;0.012736;0.023751;0.003413; false;0.188739;4.34; 0.1829; 0.0195; 2.7681; 0.0056; 0.2569; False; 3.0307; 3.2342;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.67;0.1249368829999999;0.050694815;4.3573e-05; false;0.060819752;0.453403958;0.07;0.077704;0.019546;0.000411;0.001555;0.000102; false;0.104212;1.0;0.0616758999999999;0.0180750999999999;0.0251763999999999;0.0207173; False;0.0661626;0.1975921;29.63;0.0678014369999999;0.26798201399999994; 23.808856662; 0.001540407; false; 24.084488756; 24.370875012
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;0.15;0.115365;0.036095;0.0008529999999999;0.0027;0.000156; false;0.164078;0.26;0.118435;0.037752;0.011845;0.043155;0.049405; 0.004393; false; 0.273635;0.21;0.121064;0.038183;0.001786;0.01885;0.032978;0.003731; false;0.228373;5.41; 0.2019; 0.0219; 3.6440; 0.0065; 0.3357; False; 3.9863; 4.2115;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.75;0.0890031;0.049945516;0.000239678; false;0.058314163;0.447936185;0.15;0.120133;0.035985;0.000939;0.002982;0.000369; false;0.169788;1.14;0.0686777;0.016795;0.024709;0.0003131; False;0.0470697;0.1747822;71.28;0.067965356;0.236249185; 57.601024875; 0.005951171; false; 57.853126846; 58.130914551
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;0.17;0.139603;0.041614;0.0010479999999999;0.00332;0.00018; false;0.196562;0.29;0.135393;0.04185;0.013672;0.050889;0.051434; 0.008017; false; 0.311055;0.2;0.099068;0.037193;0.002015;0.0211859999999999;0.03761;0.004028; false;0.211107;6.31; 0.2168; 0.0240; 4.5134; 0.0070; 0.4688; False; 4.9893; 5.2316;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.7;0.1040165359999999;0.070608928;3.8367e-05; false;0.076918901;0.424727898;0.13;0.115511;0.039949;0.0010509999999999;0.0037259999999999;0.000265; false;0.171296;1.01;0.0477355;0.0109407;0.0152990999999999;0.0001587; False;0.0290151;0.1351467;TO;0.080992087;0.31435159400000007;MISSING;MISSING;MISSING;MISSING;MISSING
