name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-compl;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-old-runtime;java-automatalib-old-construction;java-automatalib-old-compl;java-automatalib-old-emptiness_check;java-automatalib-old-emptiness_result;java-automatalib-old-interpretation;java-automatalib-old-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.26; 0.1261012000;0.0094387; 0.0744740000; 0.0002421000; False; 0.0867327000; 0.2564628000;0.22; 0.186245; 0.046015; 0.001385; 0.000141; 4.8e-05; false; 0.23839;0.2; 0.184721; 0.03059; 0.006362; 0.003375; 0.000718; 0.000714; false; 0.228949;0.21; 0.184676; 0.041059; 0.001114; 0.004131; 0.001317; 0.000723; false; 0.237402;2.2; 0.214188; 0.089004; 0.000185; 1.8e-05; false; 1.82165;1.31; 0.2322; 0.0000; 0.0023; 0.0001; 0.0000; False; 0.0025; 0.2350;1.48; 0.2962; 0.0246; 0.0391; 0.0399; 0.0016; 0.0032; False; 0.0449; 0.3663;1.15; 0.1877; 0.0098; 0.0104; 0.0113; 0.0001; False; 0.0114; 0.2093;1.86; 0.198380903; 0.060042678; 0.00210773; false; 0.082093493; 0.448802408;1.79; 0.060512142; 0.039619594; 3.1368E-5; false; 0.057324247; 0.286740695
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.24; 0.1147559000;0.0096907; 0.0674627000; 0.0001828000; False; 0.0797338000; 0.2669813000;0.12; 0.103495; 0.029767; 0.001075; 0.000102; 4.6e-05; false; 0.13835;0.15; 0.130534; 0.040428; 0.007779; 0.004556; 0.000842; 0.000942; false; 0.188992;0.15; 0.126407; 0.037102; 0.000896; 0.002611; 0.001098; 0.00061; false; 0.173272;2.04; 0.090701; 0.044649; 0.000355; 2.4e-05; false; 1.69388;1.07; 0.1298; 0.0000; 0.0014; 0.0001; 0.0000; False; 0.0015; 0.1315;1.47; 0.2219; 0.0176; 0.0267; 0.0274; 0.0014; 0.0022; False; 0.0312; 0.2712;1.27; 0.1375; 0.0065; 0.0076; 0.0092; 0.0001; False; 0.0093; 0.1537;1.91; 0.182932976; 0.044002022; 0.002373107; false; 0.051719861; 0.363645197;1.64; 0.049254647; 0.035538128; 5.0258E-5; false; 0.042191152; 0.26632869
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.15; 0.0588931000;0.009012899999999999; 0.0451930000; 0.0002156000; False; 0.0571842000; 0.1541835000;0.06; 0.058828; 0.017577; 0.000185; 2.1e-05; 7e-06; false; 0.077976;0.05; 0.054383; 0.012213; 0.000531; 0.000565; 0.00011; 0.000129; false; 0.068862;0.05; 0.04549; 0.018219; 0.000167; 0.001518; 0.000857; 0.000221; false; 0.069529;8.79; 0.043518; 0.046816; 0.001362; 2e-05; false; 8.49449;1.11; 0.0848; 0.0000; 0.0006; 0.0000; 0.0000; False; 0.0007; 0.0856;1.36; 0.1495; 0.0011; 0.0060; 0.0065; 0.0004; 0.0003; False; 0.0072; 0.1580;1.43; 0.1469; 0.0020; 0.0033; 0.0038; 0.0001; False; 0.0039; 0.1531;1.42; 0.123129009; 0.028355491; 0.002058318; false; 0.037006087; 0.267559903;1.34; 0.02744196; 0.014520067; 3.5943E-5; false; 0.022721048; 0.186349626
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;4.46; 4.2055260000;0.0058781; 0.2460994000; 0.0002265000; False; 0.2539592000; 4.4894081000;12.29; 11.3852; 2.35802; 0.084279; 0.000244; 8e-05; false; 13.8331;12.31; 11.2017; 2.35052; 0.01792; 0.08974; 0.006856; 0.006635; false; 13.6787;14.22; 13.6565; 2.01972; 0.001586; 0.179513; 0.002908; 0.002627; false; 15.8692;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.48; 0.3543065000;0.0057128; 0.0562844000; 0.0001748000; False; 0.0643645000; 0.4469904000;0.84; 0.772375; 0.181541; 0.002509; 7.5e-05; 2e-05; false; 0.957657;1.38; 1.26267; 0.259701; 0.004083; 0.008571; 0.00131; 0.001326; false; 1.53927;1.38; 1.26189; 0.264515; 0.000506; 0.003269; 0.001428; 0.000793; false; 1.53498;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;8.67; 7.7274; 0.0000; 0.0039; 0.0001; 0.0000; False; 0.0041; 7.7319;8.59; 7.6196; 0.0061; 0.1120; 0.1128; 0.0014; 0.0036; False; 0.1178; 7.7438;7.38; 6.6869; 0.0027; 0.0182; 0.0191; 0.0001; False; 0.0192; 6.7089;8.51; 0.234428422; 0.025001121; 0.002061909; false; 0.032875839; 0.397164934;8.75; 0.033561519; 0.061495713; 3.0468E-5; false; 0.068538621; 0.244786261
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.17; 0.0783812000;0.0055008; 0.0511324000; 0.0001292000; False; 0.0583365000; 0.1644788000;0.13; 0.117522; 0.028829; 0.00244; 6.7e-05; 1.7e-05; false; 0.150152;0.14; 0.123183; 0.030074; 0.001782; 0.005127; 0.000581; 0.00057; false; 0.162453;0.14; 0.12268; 0.034176; 0.000445; 0.003141; 0.001304; 0.000783; false; 0.165508;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.08; 0.2751; 0.0000; 0.0026; 0.0001; 0.0000; False; 0.0027; 0.2780;1.09; 0.2656; 0.0024; 0.0521; 0.0525; 0.0007; 0.0017; False; 0.0550; 0.3231;1.06; 0.2632; 0.0021; 0.0171; 0.0180; 0.0001; False; 0.0181; 0.2836;1.97; 0.242939966; 0.029806577; 0.001934018; false; 0.038473207; 0.451703008;1.69; 0.032419023; 0.069299465; 3.5086E-5; false; 0.08753219; 0.240896886
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.42; 0.3322099000;0.0073566000000000005; 0.0575025000; 0.0001634000; False; 0.0669223000; 0.4405433000;0.58; 0.528156; 0.1216; 0.003953; 0.000119; 3.3e-05; false; 0.655549;0.52; 0.498706; 0.07623; 0.002208; 0.005676; 0.000683; 0.000657; false; 0.585008;0.53; 0.472119; 0.116435; 0.000494; 0.003369; 0.001373; 0.000817; false; 0.59686;TO; 0.810373; 0.481869;MISSING;MISSING;MISSING;MISSING;2.57; 1.4974; 0.0000; 0.0041; 0.0002; 0.0000; False; 0.0043; 1.5021;1.9; 0.9691; 0.0030; 0.0641; 0.0647; 0.0008; 0.0021; False; 0.0676; 1.0399;1.8; 0.9611; 0.0025; 0.0205; 0.0215; 0.0001; False; 0.0216; 0.9854;2.46; 0.30948757; 0.018405637; 0.001899634; false; 0.0257978; 0.478474847;2.64; 0.034436116; 0.097160086; 3.6835E-5; false; 0.11211611; 0.283467436
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.15; 0.0526794000;0.0081898; 0.0445145000; 0.0001805000; False; 0.0553481000; 0.1474372000;0.01; 0.011725; 0.008082; 0.000192; 2.5e-05; 9e-06; false; 0.021249;0.01; 0.012932; 0.007848; 0.000532; 0.000732; 0.000148; 0.000153; false; 0.02349;0.02; 0.013049; 0.007911; 7.3e-05; 0.001092; 0.000632; 0.000164; false; 0.024971;0.58; 0.009312; 0.009815; 3e-05; 1.2e-05; false; 0.086319;1.13; 0.0206; 0.0000; 0.0005; 0.0000; 0.0000; False; 0.0006; 0.0214;1.14; 0.0205; 0.0003; 0.0021; 0.0022; 0.0002; 0.0001; False; 0.0025; 0.0235;0.97; 0.0331; 0.0005; 0.0014; 0.0018; 0.0000; False; 0.0019; 0.0356;1.19; 0.09037784; 0.017919603; 0.002489504; false; 0.026337051; 0.189658677;0.9; 0.017565726; 0.009205203; 3.0189E-5; false; 0.016098816; 0.114306293
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.2; 0.0850582000;0.006282800000000001; 0.0719033000; 0.0002333000; False; 0.0805188000; 0.1951813000;0.2; 0.176057; 0.045872; 0.00393; 9.7e-05; 2.8e-05; false; 0.227803;0.23; 0.197123; 0.044127; 0.003464; 0.008337; 0.000947; 0.00094; false; 0.25662;0.22; 0.200739; 0.047104; 0.000516; 0.00363; 0.001366; 0.000759; false; 0.25725;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.56; 0.4602; 0.0000; 0.0040; 0.0001; 0.0000; False; 0.0041; 0.4646;1.74; 0.4599; 0.0050; 0.0979; 0.0982; 0.0007; 0.0017; False; 0.1007; 0.5659;1.61; 0.4009; 0.0035; 0.0295; 0.0311; 0.0001; False; 0.0312; 0.4360;1.65; 0.191759736; 0.027891052; 0.002540308; false; 0.037737175; 0.352027632;1.81; 0.061576356; 0.067808907; 3.543E-5; false; 0.075945694; 0.259154416
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.41; 0.2443749000;0.006985; 0.0746748000; 0.0001784000; False; 0.0844544000; 0.3681751000;0.65; 0.60276; 0.121158; 0.004151; 0.000118; 1.3e-05; false; 0.729832;0.6; 0.543503; 0.116871; 0.00391; 0.008201; 0.00085; 0.000946; false; 0.676003;0.65; 0.607147; 0.117665; 0.000569; 0.00342; 0.001463; 0.000863; false; 0.733463;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.94; 1.8542; 0.0000; 0.0037; 0.0001; 0.0000; False; 0.0039; 1.8585;2.92; 1.8006; 0.0055; 0.0935; 0.0942; 0.0012; 0.0031; False; 0.0986; 1.9050;2.85; 1.7648; 0.0042; 0.0350; 0.0370; 0.0001; False; 0.0371; 1.8065;3.35; 0.207093157; 0.018117613; 0.001994644; false; 0.025949448; 0.360086451;3.29; 0.030698517; 0.080281598; 3.7814E-5; false; 0.086798102; 0.251184815
