name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.05; 0.052717; 0.00798; 0.000388; 4.3e-05; 5e-05; false; 0.065425
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.04; 0.029999; 0.006655; 0.000592; 5.6e-05; 4.7e-05; false; 0.043821
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.02; 0.018643; 0.003592; 0.00076; 7.9e-05; 2.9e-05; false; 0.026374
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;3.85; 3.54654; 0.336003; 0.005853; 0.000244; 0.001126; false; 4.20903
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.33; 0.32877; 0.019713; 0.001391; 9.2e-05; 0.00012; false; 0.36914
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.07; 0.075421; 0.004958; 0.000424; 3.9e-05; 4.5e-05; false; 0.087029
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.18; 0.174484; 0.009745; 0.000488; 5.5e-05; 6.1e-05; false; 0.200227
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.0; 0.006406; 0.000791; 0.000156; 1.9e-05; 1.3e-05; false; 0.008156
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.08; 0.075285; 0.0049; 0.000428; 4e-05; 4.7e-05; false; 0.086883
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.09; 0.092285; 0.008718; 0.000583; 5.1e-05; 6.3e-05; false; 0.111103
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_597.0.mata;0.16; 0.153791; 0.010937; 0.000791; 6.6e-05; 0.000111; false; 0.178152
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_657.0.mata;0.14; 0.125845; 0.014346; 0.001023; 9.1e-05; 0.000102; false; 0.154678
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;0.21; 0.19663; 0.017324; 0.001335; 9.7e-05; 0.000118; false; 0.233986
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;0.11; 0.106761; 0.010537; 0.000645; 5.7e-05; 6.9e-05; false; 0.128852
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_673.0.mata;0.46; 0.456997; 0.022995; 0.001381; 0.000111; 0.000141; false; 0.505602
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_678.0.mata;0.45; 0.44156; 0.029463; 0.002569; 0.000185; 0.000236; false; 0.496464
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested6_true-unreach-call.i_7.0.mata;0.0; 0.002268; 0.000404; 0.000195; 2.2e-05; 9e-06; false; 0.003295
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1070.0.mata;0.01; 0.006902; 0.001397; 0.000223; 2.4e-05; 1.5e-05; false; 0.009493
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1072.0.mata;0.01; 0.014487; 0.002747; 0.000398; 3.6e-05; 4.2e-05; false; 0.019483
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1107.0.mata;0.05; 0.048327; 0.008791; 0.001304; 0.000107; 6.3e-05; false; 0.064308
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1117.0.mata;0.06; 0.049282; 0.007664; 0.002219; 0.000163; 0.0001; false; 0.065146
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1170.0.mata;0.06; 0.050774; 0.009403; 0.002378; 8.7e-05; 0.000118; false; 0.070017
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1172.0.mata;0.07; 0.06504; 0.009415; 0.002295; 9.3e-05; 0.000122; false; 0.084315
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1307.0.mata;0.01; 0.013457; 0.002522; 0.001133; 7.8e-05; 4.2e-05; false; 0.01904
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1317.0.mata;0.01; 0.01268; 0.002496; 0.001368; 4.9e-05; 4.6e-05; false; 0.018521
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1337.0.mata;0.04; 0.03337; 0.004986; 0.001285; 0.00012; 6e-05; false; 0.04318
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1357.0.mata;0.06; 0.05261; 0.00818; 0.002383; 0.000185; 0.000101; false; 0.069498
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1370.0.mata;0.08; 0.061821; 0.013834; 0.00295; 0.000292; 9.3e-05; false; 0.086908
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1371.0.mata;0.09; 0.0752; 0.011856; 0.00257; 0.000168; 6.2e-05; false; 0.096953
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1375.0.mata;0.07; 0.062975; 0.009087; 0.002432; 0.00017; 0.000109; false; 0.080736
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1379.0.mata;0.07; 0.058651; 0.010489; 0.002167; 0.000104; 4.3e-05; false; 0.0783
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1427.0.mata;0.04; 0.03497; 0.006914; 0.001248; 9.9e-05; 4.6e-05; false; 0.04711
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1437.0.mata;0.03; 0.031782; 0.005882; 0.002083; 0.000153; 7.9e-05; false; 0.043809
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1471.0.mata;0.05; 0.046867; 0.006732; 0.000963; 5.1e-05; 7.3e-05; false; 0.0594
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1475.0.mata;0.05; 0.045948; 0.008786; 0.000946; 4.4e-05; 9.9e-05; false; 0.061193
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1477.0.mata;0.04; 0.039969; 0.007379; 0.000958; 4.4e-05; 6.2e-05; false; 0.053211
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1479.0.mata;0.1; 0.084771; 0.013993; 0.001826; 9.4e-05; 0.000148; false; 0.109947
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1575.0.mata;0.09; 0.073476; 0.012026; 0.002786; 0.000201; 8.8e-05; false; 0.09693
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1578.0.mata;0.1; 0.082136; 0.013192; 0.002796; 0.00021; 8.6e-05; false; 0.106744
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1597.0.mata;0.1; 0.087749; 0.014247; 0.002731; 0.000184; 0.000112; false; 0.112031
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1676.0.mata;0.05; 0.045473; 0.008371; 0.001357; 0.000119; 7.7e-05; false; 0.06066
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1677.0.mata;0.15; 0.13725; 0.019688; 0.00277; 0.000205; 0.000128; false; 0.172539
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1679.0.mata;0.13; 0.111328; 0.018475; 0.002618; 0.000184; 0.00016; false; 0.145471
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_17.0.mata;0.02; 0.020259; 0.00349; 0.001276; 9e-05; 5e-05; false; 0.027658
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1703.0.mata;0.06; 0.056415; 0.008944; 0.001332; 0.000144; 0.000134; false; 0.073507
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1707.0.mata;0.12; 0.11232; 0.016787; 0.002534; 0.000153; 0.000112; false; 0.14444
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1720.0.mata;0.09; 0.082735; 0.010068; 0.001279; 0.000101; 8.7e-05; false; 0.102931
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1722.0.mata;0.09; 0.079714; 0.013191; 0.002685; 0.000179; 0.000137; false; 0.105011
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1723.0.mata;0.1; 0.081706; 0.014103; 0.002677; 0.000191; 0.000151; false; 0.108096
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1726.0.mata;0.07; 0.072572; 0.008355; 0.00134; 0.000102; 7.8e-05; false; 0.087877
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1728.0.mata;0.05; 0.043288; 0.0083; 0.001364; 0.000144; 0.000112; false; 0.058494
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1729.0.mata;0.11; 0.095958; 0.012836; 0.002597; 0.000167; 0.000159; false; 0.120838
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_173.0.mata;0.02; 0.014829; 0.00405; 0.001596; 0.000106; 6.2e-05; false; 0.022716
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1732.0.mata;0.1; 0.088952; 0.014377; 0.002643; 0.00019; 0.000157; false; 0.115504
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1736.0.mata;0.05; 0.044828; 0.007654; 0.001303; 0.000103; 0.000101; false; 0.05901
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1737.0.mata;0.1; 0.088921; 0.01048; 0.001316; 0.000122; 7.9e-05; false; 0.110356
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1738.0.mata;0.05; 0.043888; 0.009954; 0.001356; 0.000101; 7.8e-05; false; 0.060639
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1739.0.mata;0.1; 0.097329; 0.012721; 0.002535; 0.000165; 0.000135; false; 0.122246
