name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.08;0.077188;0.003277;0.000202;0.000128; false;0.088279;0.12;0.078174;0.021226;0.015473;0.00319;0.004036; false;0.127917;0.05; 0.044964; 0.001674; 0.005335; 0.001273; 0.000876; false; 0.058372;1.4; 0.0955; 0.0653; 0.0962; 0.1039; 0.0041; 0.0099; False; 0.1180; 0.2860;1.2;0.0927;0.0339;0.0329;0.0351;0.0001; False;0.0353;0.1625;1.97;0.150665928;0.117275535;4.2199e-05; false;0.134991155;0.546155974;0.05;0.052717;0.00798;0.000388;4.3e-05;5e-05; false;0.065425;0.75;0.0446402;0.0073939;0.0598194;0.0002358; False;0.0699301;0.1749231;2.5;0.216180686;0.207060549;0.058882773;0.003122064; false;0.279710939;0.801314098
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.05;0.046163;0.002469;0.000147;8.9e-05; false;0.055009;0.09;0.049513;0.023859;0.012798;0.003475;0.003504; false;0.098441;0.06; 0.046532; 0.002427; 0.004847; 0.001805; 0.001226; false; 0.062049;1.37; 0.0703; 0.0436; 0.0748; 0.0764; 0.0083; 0.0058; False; 0.0906; 0.2051;1.29;0.0737;0.0254;0.0268;0.0303;0.0001; False;0.0305;0.1304;1.79;0.146987106;0.081298874;3.7588e-05; false;0.097218989;0.646031358;0.04;0.029999;0.006655;0.000592;5.6e-05;4.7e-05; false;0.043821;0.79;0.0650159;0.0097029;0.073446;0.0002477; False;0.0859308;0.2382953;2.3;0.181313004;0.27061409;0.065504983;0.011348587; false;0.353386087;0.775931151
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.02;0.019287;0.001988;0.000145;6e-05; false;0.024018;0.03;0.019294;0.007671;0.006716;0.001602;0.001557; false;0.039152;0.03; 0.019724; 0.000997; 0.003235; 0.00129; 0.000695; false; 0.029058;1.02; 0.0278; 0.0078; 0.0247; 0.0252; 0.0012; 0.0011; False; 0.0276; 0.0634;1.05;0.0222;0.0078;0.0109;0.0124;0.0001; False;0.0126;0.0429;1.41;0.056943258;0.015427812;4.1647e-05; false;0.023076921;0.361263528;0.02;0.018643;0.003592;0.00076;7.9e-05;2.9e-05; false;0.026374;0.88;0.052202;0.0093126;0.0532174;0.0002434; False;0.0653028;0.2139791;1.81;0.058195278;0.16417049;0.046888664;0.001789712; false;0.218957277;0.506187608
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;8.26;3.65612;4.63128;0.009017;0.005337; false;8.66819;15.79;4.07551;2.95681;8.10127;0.311067;0.305334; false;16.0719;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;49.73;3.0288;0.7619;47.0849;47.4345;0.0001; False;47.4347;51.2557;7.68;1.656413098;0.738229067;3.3596e-05; false;0.745259618;3.66095067;3.85;3.54654;0.336003;0.005853;0.000244;0.001126; false;4.20903;3.63;2.1375262;0.0099086;0.4489337;0.0002673; False;0.4618031;3.1725059;25.7;2.122133101;19.242803389;0.16058704;0.003993163; false;19.44243026;22.816558263
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.42;0.303433;0.106819;0.001955;0.000839; false;0.453891;0.96;0.371677;0.224654;0.289856;0.040652;0.035338; false;0.993838;0.35; 0.252227; 0.029531; 0.045569; 0.011134; 0.011341; false; 0.376978;4.69; 0.3149; 0.0916; 3.2313; 3.2435; 0.0415; 0.1085; False; 3.3936; 3.8017;1.96;0.342;0.0675;0.5562;0.5809;0.0001; False;0.581;0.993;2.72;0.253053742;0.057432296;2.6814e-05; false;0.064338686;0.943258027;0.33;0.32877;0.019713;0.001391;9.2e-05;0.00012; false;0.36914;1.16;0.2280706;0.0096584999999999;0.1002021;0.0003215; False;0.1126996;0.4516619;4.28;0.329527242;0.970386734;0.113741803;0.015116665; false;1.106260223;1.942312229
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.07;0.057192;0.012666;0.000302;0.000104; false;0.074871;0.2;0.068495;0.038498;0.066468;0.012742;0.013723; false;0.205897;0.08; 0.063735; 0.003563; 0.010933; 0.00331; 0.002802; false; 0.090838;2.08; 0.0973; 0.0291; 0.8276; 0.8310; 0.0099; 0.0255; False; 0.8665; 0.9935;1.53;0.0984;0.0257;0.1592;0.164;0.0001; False;0.1641;0.2887;2.0;0.11152882;0.049473862;2.9509e-05; false;0.072309836;0.406756776;0.07;0.075421;0.004958;0.000424;3.9e-05;4.5e-05; false;0.087029;0.9;0.0781536;0.0090877;0.0687054;0.0002778; False;0.0805702;0.3104063;3.04;0.245849566;0.469223623;0.035003672;0.002061742; false;0.516789259;1.128603592
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.17;0.152408;0.029385;0.000739;0.000259; false;0.192813;0.47;0.160765;0.089827;0.152234;0.027888;0.028204; false;0.47255;0.19; 0.150652; 0.010595; 0.023381; 0.006545; 0.006191; false; 0.214924;2.49; 0.1295; 0.0387; 1.0940; 1.0977; 0.0119; 0.0540; False; 1.1637; 1.3327;1.98;0.2333;0.0632;0.5879;0.6072;0.0001; False;0.6074;0.9051;2.56;0.280880952;0.05929542;2.9193e-05; false;0.066616296;0.716884503;0.18;0.174484;0.009745;0.000488;5.5e-05;6.1e-05; false;0.200227;1.09;0.1203539;0.0088952999999999;0.1312395;0.0002656; False;0.1426996;0.3931781;4.09;0.248903808;0.825779076;0.063302916;0.001982642; false;0.912828027;1.623729768
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.0;0.00435;0.000688;4.8e-05;2.1e-05; false;0.005817;0.01;0.004789;0.002081;0.002589;0.000591;0.000593; false;0.011267;0.01; 0.004404; 0.000233; 0.001583; 0.000793; 0.000311; false; 0.008684;1.23; 0.0096; 0.0013; 0.0069; 0.0072; 0.0005; 0.0003; False; 0.0081; 0.0191;1.19;0.0136;0.0026;0.0065;0.0075;0.0001; False;0.0076;0.024;1.15;0.023685645;0.013571821;3.4219e-05; false;0.020988444;0.154948605;0.0;0.006406;0.000791;0.000156;1.9e-05;1.3e-05; false;0.008156;1.01;0.0391111;0.0103967;0.0528328;0.0002002; False;0.0662163;0.1638523;1.42;0.051404192;0.159677398;0.039802558;0.002907605; false;0.210287865;0.419763756
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.05;0.036088;0.012986;0.000381;0.000101; false;0.053735;0.19;0.063317;0.035315;0.064452;0.013401;0.014561; false;0.196686;0.04; 0.035955; 0.001921; 0.006976; 0.002263; 0.001842; false; 0.052997;2.38; 0.1012; 0.0301; 1.0145; 1.0178; 0.0103; 0.0263; False; 1.0546; 1.1864;1.45;0.0995;0.0261;0.2734;0.2818;0.0001; False;0.282;0.4083;1.92;0.189867462;0.123031584;3.354e-05; false;0.129820961;0.559879852;0.08;0.075285;0.0049;0.000428;4e-05;4.7e-05; false;0.086883;0.97;0.0555848;0.0058811;0.1072354;0.0002065; False;0.115198;0.2310672;3.14;0.129336811;0.407419217;0.030052552;0.002011611; false;0.445891561;0.817108652
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.21;0.173266;0.050089;0.00062;0.000209; false;0.241913;0.47;0.179371;0.109438;0.139127;0.023341;0.020787; false;0.48771;0.2; 0.16649; 0.00857; 0.022474; 0.005853; 0.005237; false; 0.218139;3.29; 0.2651; 0.0868; 1.7777; 1.7837; 0.0207; 0.0533; False; 1.8579; 2.2105;2.04;0.2619;0.0682;0.7081;0.7279;0.0001; False;0.7281;1.0596;2.45;0.247056053;0.0705328;4.6558e-05; false;0.078888116;0.934623429;0.09;0.092285;0.008718;0.000583;5.1e-05;6.3e-05; false;0.111103;1.02;0.0969301;0.0057487999999999;0.0999839;0.0002311; False;0.107643;0.2644732;3.41;0.283157407;0.745666498;0.043702128;0.001864181; false;0.797615811;1.375701138
