name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-compl;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-old-runtime;java-automatalib-old-construction;java-automatalib-old-compl;java-automatalib-old-emptiness_check;java-automatalib-old-emptiness_result;java-automatalib-old-interpretation;java-automatalib-old-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.12; 0.0572003000;0.0088927; 0.0064204000; 0.0001881000; False; 0.0190115000; 0.2131968000;0.0; 0.000343; 2.1e-05; 5e-06; 1e-06; false; 0.000569;0.0; 0.000149; 0.000163; 5.2e-05; 5e-06; 4e-06; false; 0.00062;0.0; 0.000124; 1.5e-05; 0.000801; 0.000667; 3.4e-05; false; 0.00293;0.4; 0.000171; 5e-06; 1e-05; false; 0.000547;1.18; 0.0061; 0.0000; 0.0003; 0.0000; 0.0000; False; 0.0004; 0.0067;1.16; 0.0062; 0.0001; 0.0001; 0.0002; 0.0000; 0.0000; False; 0.0002; 0.0068;1.03; 0.0070; 0.0005; 0.0003; 0.0004; 0.0001; False; 0.0004; 0.0082;1.01; 0.071000878; 0.015929949; 0.002159643; false; 0.023990764; 0.166150394;0.96; 0.00941422; 0.002595431; 4.0478E-5; false; 0.010035192; 0.177936383
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.07; 0.0211745000;0.0056541000000000004; 0.0041199000; 0.0001136000; False; 0.0116764000; 0.0662357000;0.0; 6.2e-05; 1.4e-05; 4e-06; 2e-06; false; 0.000187;0.0; 9.7e-05; 4.8e-05; 4e-05; 6e-06; 4e-06; false; 0.000346;0.0; 9.7e-05; 7e-06; 0.000475; 0.000379; 2.5e-05; false; 0.001698;0.45; 8.8e-05; 5e-06; 1e-05; false; 0.000357;1.01; 0.0060; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0062;0.99; 0.0061; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0066;1.11; 0.0068; 0.0002; 0.0003; 0.0004; 0.0001; False; 0.0005; 0.0076;0.97; 0.056937896; 0.027055791; 0.00441229; false; 0.044119735; 0.18260201;0.81; 0.006312602; 0.002312916; 3.8911E-5; false; 0.009456909; 0.087273777
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.12; 0.0341173000;0.0086452; 0.0062541000; 0.0001727000; False; 0.0174689000; 0.1760379000;0.0; 9.2e-05; 2e-05; 6e-06; 2e-06; false; 0.00025;0.0; 9.3e-05; 5.7e-05; 3.9e-05; 5e-06; 4e-06; false; 0.000346;0.0; 9.9e-05; 1.5e-05; 0.000734; 0.000583; 3.7e-05; false; 0.002509;0.48; 8.5e-05; 5e-06; 9e-06; false; 0.000325;0.96; 0.0047; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0050;1.01; 0.0043; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;1.26; 0.0044; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0049;1.08; 0.090946086; 0.033278095; 0.002529882; false; 0.048018212; 0.249623583;0.96; 0.005854671; 0.003387338; 3.0027E-5; false; 0.015793555; 0.090176316
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.12; 0.0354772000;0.0089002; 0.0067254000; 0.0001574000; False; 0.0182065000; 0.1043735000;0.0; 8.8e-05; 2e-05; 5e-06; 1e-06; false; 0.000248;0.0; 8.9e-05; 5.9e-05; 4.1e-05; 7e-06; 4e-06; false; 0.000358;0.0; 9e-05; 1.1e-05; 0.000792; 0.000595; 3.5e-05; false; 0.002506;0.49; 9.3e-05; 5e-06; 1e-05; false; 0.000352;0.97; 0.0043; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0045;1.0; 0.0065; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0069;1.06; 0.0062; 0.0002; 0.0003; 0.0004; 0.0001; False; 0.0005; 0.0070;1.1; 0.094638484; 0.018484265; 0.002333034; false; 0.027936227; 0.201572558;1.01; 0.008382835; 0.002817613; 3.1109E-5; false; 0.015030197; 0.157048685
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.12; 0.0352861000;0.0080131; 0.0062359000; 0.0001966000; False; 0.0167318000; 0.1058650000;0.0; 8.5e-05; 2e-05; 6e-06; 1e-06; false; 0.000228;0.0; 9e-05; 5.9e-05; 4.2e-05; 5e-06; 4e-06; false; 0.000341;0.0; 9.3e-05; 1.1e-05; 0.000721; 0.000568; 3.6e-05; false; 0.002417;0.5; 8.4e-05; 5e-06; 1e-05; false; 0.000381;1.22; 0.0063; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0066;1.09; 0.0043; 0.0001; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045;1.16; 0.0063; 0.0002; 0.0003; 0.0004; 0.0001; False; 0.0005; 0.0072;0.76; 0.044185144; 0.019363625; 0.001885484; false; 0.036781139; 0.138519869;0.78; 0.006569716; 0.00229285; 3.1588E-5; false; 0.010319442; 0.084993359
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.12; 0.0347991000;0.0088427; 0.0064733000; 0.0001647000; False; 0.0178972000; 0.1043823000;0.0; 8.9e-05; 2.1e-05; 7e-06; 2e-06; false; 0.000253;0.0; 9.3e-05; 6.1e-05; 4.8e-05; 6e-06; 4e-06; false; 0.000364;0.0; 9.1e-05; 1.3e-05; 0.000635; 0.000502; 3.4e-05; false; 0.002214;0.49; 9e-05; 1.8e-05; 9e-06; false; 0.000346;1.16; 0.0061; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0064;1.09; 0.0043; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0047;1.01; 0.0044; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0049;1.02; 0.120223105; 0.01987089; 0.001916503; false; 0.031045959; 0.238940709;1.02; 0.004312433; 0.002372093; 4.1881E-5; false; 0.009269745; 0.11706436
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.13; 0.0373058000;0.0092752; 0.0068342000; 0.0001728000; False; 0.0190305000; 0.1403578000;0.0; 9.1e-05; 2e-05; 6e-06; 2e-06; false; 0.000253;0.0; 9.2e-05; 5.8e-05; 4e-05; 5e-06; 4e-06; false; 0.000348;0.0; 9.7e-05; 1.6e-05; 0.000729; 0.000572; 3.8e-05; false; 0.002518;0.48; 0.0001; 6e-06; 1e-05; false; 0.000391;0.97; 0.0045; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0048;1.23; 0.0204; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0209;1.19; 0.0060; 0.0002; 0.0003; 0.0004; 0.0001; False; 0.0005; 0.0069;1.14; 0.114429128; 0.017719542; 0.002423091; false; 0.027406432; 0.232290087;0.78; 0.004623442; 0.002366193; 3.4739E-5; false; 0.011108521; 0.072679839
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.09; 0.0304672000;0.0089745; 0.0066978000; 0.0001658000; False; 0.0183171000; 0.0875554000;0.0; 8.7e-05; 2e-05; 6e-06; 2e-06; false; 0.000243;0.0; 9.2e-05; 5.7e-05; 4.2e-05; 7e-06; 5e-06; false; 0.00037;0.0; 8.9e-05; 1.1e-05; 0.0007; 0.000558; 3.9e-05; false; 0.002397;0.46; 8.9e-05; 5e-06; 1.1e-05; false; 0.000334;1.02; 0.0061; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0064;0.94; 0.0043; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;0.89; 0.0043; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0048;1.1; 0.080805615; 0.031274739; 0.014528477; false; 0.052183042; 0.207619355;1.02; 0.005448508; 0.014047449; 3.6075E-5; false; 0.027544518; 0.145520737
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.12; 0.0363312000;0.009448; 0.0069059000; 0.0001899000; False; 0.0194952000; 0.1330004000;0.0; 9.3e-05; 2e-05; 7e-06; 2e-06; false; 0.000288;0.0; 9.1e-05; 6.8e-05; 4.7e-05; 8e-06; 6e-06; false; 0.00039;0.0; 9.5e-05; 1.2e-05; 0.000791; 0.000605; 5.2e-05; false; 0.002668;0.49; 0.000101; 6e-06; 1.2e-05; false; 0.000403;1.2; 0.0061; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0064;1.25; 0.0060; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0064;1.05; 0.0062; 0.0002; 0.0003; 0.0004; 0.0001; False; 0.0005; 0.0070;0.98; 0.059543028; 0.014955605; 0.001968347; false; 0.02388717; 0.148560248;0.85; 0.010040602; 0.002879127; 3.0209E-5; false; 0.016377484; 0.165174887
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.12; 0.0499996000;0.008907; 0.0062976000; 0.0001667000; False; 0.0180960000; 0.1490653000;0.0; 8.5e-05; 1.9e-05; 6e-06; 2e-06; false; 0.000273;0.0; 8.5e-05; 6.3e-05; 3.9e-05; 7e-06; 6e-06; false; 0.000358;0.0; 8.3e-05; 1e-05; 0.000735; 0.000572; 3.9e-05; false; 0.002414;0.5; 6.9e-05; 4e-06; 7e-06; false; 0.000285;0.94; 0.0044; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;1.21; 0.0063; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0067;1.15; 0.0063; 0.0001; 0.0003; 0.0004; 0.0001; False; 0.0005; 0.0071;1.01; 0.105203355; 0.027796363; 0.003091914; false; 0.04607792; 0.247215006;0.82; 0.006279546; 0.002200038; 2.8638E-5; false; 0.009927137; 0.102540119
