name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.0; 8.5e-05; 3e-05; 2e-05; 7e-06; 2e-06; false; 0.000271
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.0; 6.8e-05; 4.1e-05; 1.1e-05; 9e-06; 2e-06; false; 0.000267
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.0; 8.3e-05; 3.4e-05; 1.9e-05; 8e-06; 2e-06; false; 0.000299
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.0; 6.5e-05; 3.2e-05; 7e-06; 5e-06; 1e-06; false; 0.000205
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.0; 0.000104; 3.4e-05; 8e-06; 6e-06; 2e-06; false; 0.000264
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.0; 7.8e-05; 3.4e-05; 1.9e-05; 8e-06; 2e-06; false; 0.000255
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.0; 7.6e-05; 3.9e-05; 6e-06; 5e-06; 1e-06; false; 0.000208
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.0; 8.5e-05; 3.5e-05; 1.1e-05; 8e-06; 1e-06; false; 0.000242
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.0; 6.7e-05; 2.1e-05; 6e-06; 4e-06; 1e-06; false; 0.000188
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.0; 0.0001; 3.3e-05; 1e-05; 7e-06; 2e-06; false; 0.00031
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-5.mata;0.0; 9.2e-05; 2.9e-05; 9e-06; 6e-06; 1e-06; false; 0.000249
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-6.mata;0.0; 7.5e-05; 3.7e-05; 8e-06; 6e-06; 1e-06; false; 0.000232
